"run_id","time","surv","lower","upper"
"0",342.26,0.784219001610305,0.768207726132233,0.800563990137224
"0",859.12,0.554750402576488,0.535546255776079,0.574643190648036
"0",2121.84,0.280998389694039,0.263866664738925,0.299242403691909
"0",3684.6,0.122785829307566,0.110534747587338,0.136394755566203
"0",5162.08,0.00925925925925909,0.00616470170765925,0.0139072231059706
"1",342.26,0.738160105325846,0.720763179587504,0.755976937399191
"1",859.12,0.486818259507881,0.467207614748316,0.507252044506917
"1",2121.84,0.243409129753941,0.226815718854259,0.26121648334982
"1",3684.6,0.095610104140056,0.0845301221533752,0.108142420486344
"1",5162.08,0.0112728070383473,0.00774719075025196,0.0164028720371547
"2",342.26,0.755792510431102,0.739335049515866,0.772616311370329
"2",859.12,0.506595806733397,0.487596025503107,0.526335937900761
"2",2121.84,0.268335635486389,0.251709838992056,0.286059589725281
"2",3684.6,0.118739495178839,0.106847821444611,0.13195465779931
"2",5162.08,0.011717713340017,0.00821010494227657,0.0167238795221465
"3",342.26,0.776062818022035,0.759949171431125,0.792518131682558
"3",859.12,0.515780835398318,0.496601907316386,0.535700459955541
"3",2121.84,0.243939622305849,0.227703233190759,0.261333747865005
"3",3684.6,0.0868935255926067,0.0765422358409413,0.0986446856034266
"3",5162.08,0.00757328892779599,0.00483890535494489,0.0118528264094412
"4",342.26,0.748878410356253,0.732163673169547,0.765974732220618
"4",859.12,0.481167249382787,0.462072049787398,0.501051561082566
"4",2121.84,0.241573680760079,0.225443408190903,0.258858059786588
"4",3684.6,0.104549920853542,0.0932719829632234,0.117191525292132
"4",5162.08,0.014652829816595,0.0106417798883073,0.0201757059333659
"5",342.26,0.750408919839089,0.733799609970928,0.767394175906386
"5",859.12,0.510766008364524,0.491707528742182,0.530563190618578
"5",2121.84,0.264040055171489,0.247448975827165,0.281743541277204
"5",3684.6,0.112148160542287,0.100527821370193,0.125111732668542
"5",5162.08,0.0110180648953825,0.00762312549151096,0.0159249318634527
"6",342.26,0.765151808158054,0.748319575882537,0.782362654133531
"6",859.12,0.50364422815467,0.483941192418778,0.524149447344444
"6",2121.84,0.261507580003384,0.244419747965581,0.279790053661524
"6",3684.6,0.106119017972387,0.0944279588523195,0.119257538893072
"6",5162.08,0.00884325149769898,0.00577681649945281,0.0135374036995918
"7",342.26,0.737632311649544,0.720096499549738,0.755595156384827
"7",859.12,0.485094217632347,0.465322768336973,0.505705750916382
"7",2121.84,0.215125043051679,0.199146423545492,0.232385715616002
"7",3684.6,0.0858799578981011,0.0752721316691632,0.0979827062822652
"7",5162.08,0.00425148306426243,0.00229055329079988,0.00789115377420373
"8",342.26,0.749473604687964,0.732486322806889,0.766854843065867
"8",859.12,0.500743591303018,0.481286803648763,0.520986950670755
"8",2121.84,0.238879319785535,0.222536299033134,0.256422568673633
"8",3684.6,0.100148718260602,0.0889111141328727,0.112806659404274
"8",5162.08,0.00656712906626901,0.00402972764197803,0.0107022578210437
"9",342.26,0.76159212146081,0.744860919118483,0.778699143133477
"9",859.12,0.51538777185063,0.49592290598248,0.535616629457607
"9",2121.84,0.272055806319239,0.254948870129645,0.290310609003185
"9",3684.6,0.108329913828475,0.0966672725739529,0.121399620756932
"9",5162.08,0.00984817398440681,0.00661397586746934,0.0146638773365008
"10",342.26,0.78147554129912,0.765424293188864,0.79786339038767
"10",859.12,0.52526062550121,0.506023593500171,0.545228973996108
"10",2121.84,0.253007217321578,0.236508002467339,0.270657446466946
"10",3684.6,0.107056936647957,0.0955849417950081,0.119905787137732
"10",5162.08,0.0140336808340019,0.0100996289691679,0.0195001418717325
"11",342.26,0.745162618361469,0.728032862262224,0.762695417454005
"11",859.12,0.491560312885971,0.4720758012533,0.511849030522331
"11",2121.84,0.23301770275834,0.216797786103119,0.25045112671468
"11",3684.6,0.095100864553316,0.0841219036557087,0.107512717208634
"11",5162.08,0.00823384108686718,0.00532173495471255,0.0127394805680329
"12",342.26,0.72984636565256,0.712639018088362,0.747469201006058
"12",859.12,0.47800926805376,0.458805749202377,0.498016558734325
"12",2121.84,0.219354924182391,0.203701362071779,0.236211394335731
"12",3684.6,0.0769947814314791,0.0672117036735754,0.0882018464592489
"12",5162.08,0.00761927524582345,0.00486833510573447,0.0119246834925632
