did	xi	sigma	mu
did:plc:2elroanlxzho25opahkotfu6	0.5974000367717374	827.5034604671505	0.0
did:plc:2etomlnno6hzfu6yvsvnh3z2	0.6501681908094774	1840.0311182413514	0.0
did:plc:2f6nxkqm36hpu3mqfjpehr23	0.489805029982668	3547.19841927204	0.0
did:plc:2fenehxdht55kdzzea3bf4xh	2.148538430902135	236.2844346406485	0.0
did:plc:2fer5u7ijtwqhvlsrh7zw2le	4.202363588746458	50.42836306495749	12.0
did:plc:2fkhmmsslcybiqa52qznstao	-0.29018877613651	16804.7379972774	0.0
did:plc:2fnbcpu4k7k7bexkvs3vqryk	1.0110145676466877	1008.8970255320661	0.0
did:plc:2fwcfwi67jnxmod6olsgnb4x	0.8202315328851778	2788.2794927345526	0.0
did:plc:2g3dh4lm2zoup5g6qqax3ti5	1.0058678540741945	709.6403305042635	0.0
did:plc:2g3p466mwex6cpt7pnlhi2eq	0.9265829798757568	1236.0518573671827	0.0
did:plc:2g5u5rkx7zip6zx6bps3dioe	0.483692081587949	6238.47734787896	0.0
did:plc:2g6dmszafishnhcfdahzzdee	-0.314388096104853	21677.9458908881	0.0
did:plc:2gczkingkvmnyx7ykiewxlnr	-0.605262902496381	31192.5820402337	0.0
did:plc:2giyb4p67wfujfjafgirtwqd	-0.0987956161870785	5194.67631400001	0.0
did:plc:2gj3ixcocbhpzmdrfb7js7jg	0.522044890799148	3551.91817450296	0.0
did:plc:2gozev56pfqtk5ig3qgsgssu	0.48212985208612497	8108.673717475313	0.0
did:plc:2gsflwk77v2njmyhqw2bv3r3	0.875914031255186	623.6507902536924	712.0
did:plc:2gwenrmsrgvxkmesnc4l2pun	0.8816857411156224	437.8214044362577	0.0
did:plc:2hbjf4z6kanaol6kcqmvel3j	0.139502274500178	17561.3566641644	0.0
did:plc:2htxhqyiqdvv7tu2hjvxvxag	0.5580362333476196	3652.9485766534344	0.0
did:plc:2hylvrnr3iiyepkhvmo63bwx	0.7084642562164709	4467.165719294582	0.0
did:plc:2iehcs3pykzr6vnnrixvhriu	0.6936325242415852	2389.3422302172703	0.0
did:plc:2ikafimtrwwzslpmnduy3ht6	0.6217322757526415	1821.904768510051	0.0
did:plc:2jbwxz2vcyl4xt4xhau6sgoe	1.420474587772531	1189.1752423763753	0.0
did:plc:2jbx6gwxa7lwrwpxs7kag665	1.0971816597202042	605.7427530555811	0.0
did:plc:2jihwey46jfqw2ktc6dbg22k	-0.554921926479176	24018.3974288824	0.0
did:plc:2jjqzndycaea3sfr5pvjyqbj	0.21605269410047	2193.1486765824748	0.0
did:plc:2jlufj4nu7bwrog7n5fxexox	2.3206052134599786	197.24358854297748	0.0
did:plc:2jok2w6abegpwas67kqtny5l	0.321762944581806	6982.80058635335	0.0
did:plc:2jp33xj6xveixuwlqigw2575	0.8148556208911737	1123.0123858926283	0.0
