did	duration_xi	duration_sigma	duration_mu	gap_meanlog	gap_sdlog
did:plc:225ye7dykffy6bpc2ppyud37	-0.444367856891229	306.989657489914	0.0	6.83493249822891	2.01223196358604
did:plc:22bofth3ephz7mwjenak6ves	-0.472113681857872	421.8568039472	0.0	7.48215484125799	2.34307927896429
did:plc:22c2ok43udop4zqoqpy72ejg	-0.28672677364347	126.270688924566	0.0	8.74955272717838	1.3483214856152
did:plc:22fyoakkfli6tcd5kmozvvxp	0.529253527178124	77.2771424777976	0.0	7.29150374863096	1.54264275262567
did:plc:22ggikaclis4opquajbyyjeb	-0.296733771156897	930.859526959646	0.0	6.8459108610551	2.76426910813589
did:plc:22jk6fbbgwlrwmfiqufttb6s	0.323414014472425	255.000354832261	0.0	6.76173456749319	2.01120574435492
did:plc:22m4kc2r5hfwx3r22fowd3ld	2.6819619983500855	5.363923996700171	2.0	7.75307029549489	2.04753577872336
did:plc:22mq5gwrane3v3resyjs62qg	2.5856529160125614	2.5856529160125614	1.0	7.4190001924697	1.56863277557961
did:plc:22nkscs2h22gouiaj3k76xoh	-0.37178709096631	360.585298345579	0.0	7.44374786751311	1.95348474825008
did:plc:236ugng2r3dvndkupiyubnxv	-0.624748700847821	451.02595511491	0.0	8.46053817825102	1.76634852031363
did:plc:23aerrvpwy3ncnnkn7m7stho	0.23113992622510562	240.2700224583022	0.0	6.95093453494528	1.92825254439069
did:plc:23bmz75s75dmj4yb32w5yeew	-0.126015974514579	1379.38808239152	0.0	7.05114555306449	2.8389673815363
did:plc:23cetdqpg4p56a7lo6s6hhr5	-0.291737512984739	785.931826416388	0.0	6.89932358810452	2.0742639923119
did:plc:23dqupyzm76rr36ohwh4cfn4	0.22889909217027035	187.36011792411216	0.0	6.60545431157323	1.90134178136989
did:plc:23hw3atxbjz7ukueu5vflclm	-0.0402820099882846	592.615342593407	0.0	6.86460451432063	2.2024285557653
did:plc:23oekqdowvyql2yqm6dx25iy	0.438532438170859	149.572265502693	0.0	7.40257758432451	1.934198187261
did:plc:23vrwzeox3gsyk6vw4srzkcw	0.15234818428441677	323.0635044185972	0.0	6.51917386870364	1.67626571151861
did:plc:23xjb5aeghfvfz7ewgcbbajz	-0.397233658779369	175.022631327609	0.0	8.39532764515251	1.49539412704071
did:plc:242pryljgkmzgl5gzdwp7pfu	3.020128292825246	3.020128292825246	1.0	7.18447636684172	1.722583302778
did:plc:2452u7s6seau4ty63cccblyh	-0.182034814977682	494.143095111537	0.0	6.92959017246349	2.15639128878562
did:plc:245epjggozlt6yqnlnrs6oir	2.672403798824968	2.672403798824968	1.0	8.37684676412545	1.56152233118431
did:plc:246i3y35k5cwsjdibwekixfv	0.2728721330282315	183.3638822778173	0.0	7.57639188154787	1.88575833447455
did:plc:246nozpk25f5hqvrihpr5zlk	0.37102663920163	174.504327975111	0.0	7.39523126607933	1.99887932023642
did:plc:247r4pqjbead3ja4gi6luuqv	0.400619608658033	287.56089507007	0.0	6.83678199211112	2.15715034881392
did:plc:24bknnf7nhi55pbo5vnohttr	2.536693250227271	2.536693250227271	1.0	8.19270003184719	1.47074445924704
did:plc:24dfjxegqyieedx5tz4qoai4	-0.14135512078184	447.16026060399	0.0	6.38537436947742	1.99600043048084
did:plc:24h73yzg24afxgs5bhubwxwm	-0.604413859242701	1244.24294621738	0.0	7.09476273275176	2.69889905025987
did:plc:24icq75goz5q5hhyccao75qf	0.5192210201974271	209.6577261735162	0.0	7.03010766005972	1.93978029295817
did:plc:24jxec6pqzzhzaffl36vq3mx	-0.44806094799436	327.923338681461	0.0	7.51918062787019	1.87240464704228
did:plc:24mb7e2rc3t33di3awulo5x3	0.355511340865319	70.9433564642148	0.0	8.10134853049189	1.48323876659569
did:plc:24w7pmdkexffaoinhjdktnvz	0.0995193512184517	477.815155319163	0.0	6.92535819467348	2.19493430641218
