did	duration_meanlog	duration_sdlog	gap_xi	gap_sigma	gap_mu
did:plc:225jifwqatcawcqpo2jjmx5h	2.73052509729681	1.70248563972892	0.7136413406603666	3274.1548154792345	0.0
did:plc:227tvq7yj4gqywnedl5epas2	3.44447057586875	1.25677619589025	0.5493036212833993	2824.8333951287905	0.0
did:plc:22bh56unt6amttywwjosu6nk	3.3508256116518	1.74676559574445	0.5761434780544539	1644.8440184602532	0.0
did:plc:22g3mf3sm5z4lp7zfk6ncv32	6.05179798995578	1.00618655790258	2.344916522580305	96.11283229491438	0.0
did:plc:22hjgx4tyxyg7dtndhsyi6zn	3.80301773027885	1.19782309936062	0.5492821723004734	2851.134302775623	0.0
did:plc:22lrjdvse3l6gfsv63k3pyd7	3.64811199943537	1.58964728117795	0.6398613992546687	1439.7953007599688	0.0
did:plc:22m5xgpsaoj67err7d67opep	3.17698223932413	1.1581073133941	-0.22016206455823	12469.8764506283	0.0
did:plc:22msnh4bnrc6gg54kvrrtc4o	4.38271232697762	1.42178362992073	0.8268129790573162	1580.877809815069	0.0
did:plc:22pf2cxv4bdgyjonl2z4fmkw	4.13018120517765	1.39437135894749	0.3966294295018776	834.6518404098919	0.0
did:plc:22qv3puntjffqds7fnye5epn	3.24910537497385	1.57437724087725	0.5519311453512453	1361.3219310661934	0.0
did:plc:232esdlblshlaykyhxajkncy	3.80693500179107	1.56480088873092	1.0164737354234463	885.2602450721002	0.0
did:plc:235s3xmrp43n3xnps5o3qova	2.43508812712743	1.55593564850705	0.7121892602749406	2699.0771446040567	0.0
did:plc:237erdpfo6ulzkfdhuzhlwwn	4.55818380127636	1.00252617966324	0.7808202999563982	1027.7384636870845	0.0
did:plc:23ect4wm5cecl3cyqh4bfpvm	3.28177387441302	1.87840213582016	0.2035687032599118	2716.032678659271	0.0
did:plc:23l5ivmlrd2tpsm2fwfogxof	3.64618191321245	1.60979536533131	0.542483364592217	2752.26001784385	0.0
did:plc:23qbpu73ae4nmhqyktkbbqgh	2.58414418683006	1.33226844750056	-0.188423804506085	9233.29547313628	0.0
did:plc:23rqgf3s3724oo3xyklpeqkt	3.23463977751799	1.92906565467466	0.5776625493374047	1924.7504359439092	0.0
did:plc:23rrhkmw2ehqwtm7wzr46rs3	4.25728913425095	1.51158500710326	0.8496076703888313	848.7311756114918	0.0
did:plc:23xkdxkfipfirf25wxs25jil	5.09253160428	1.00004093825944	1.1411201799110322	1934.391951726655	0.0
did:plc:243hhsjubdwjwgbu6qdhh3r3	6.79456006905831	0.952852467655776	0.7868831449935009	32.82970127377756	0.0
did:plc:245cxtpykvdjxdzkvffblf35	3.07560945834898	0.952150751896909	0.583566509938022	4597.38241676866	0.0
did:plc:246s7yeo7r3ivt76tdqitkrp	4.15571345023073	1.09921525540629	0.34204093167743577	5100.510204536659	0.0
did:plc:24je276xut6snvtsl47xayy3	4.58285653868665	1.57426539727917	0.8470095639496824	879.739073558078	0.0
did:plc:24kuqurxd5tnf6opmfgurdik	3.88300551403287	1.39312564945651	0.377343408543566	3216.616385041948	0.0
did:plc:24mo52fj3hienpf7ak6ghe5x	3.71221754345758	1.49176199228283	0.5249964409838528	5037.756052421867	0.0
did:plc:24mt422z6f7xk6o7emawuajc	2.88380544816115	1.86882962460881	0.5427224020293937	1495.6812544048732	0.0
did:plc:24p7kazeyrus3rmo5j4itqyc	6.44210288100938	1.20336325402211	2.21238621700236	232.81067811042158	0.0
did:plc:24w5l76j2bqkc6s5jf5abvoa	3.97148297747924	1.43096872101828	0.481077528833363	1686.20888997059	0.0
did:plc:25fmwrct5eruww7wsglxjey6	3.51680265334824	1.97414598044585	0.8226582560241965	667.4930118648239	0.0
did:plc:25jkclloo6uvsyfzdv2kojhy	3.40061681408938	1.43655791028865	0.428982380265631	3416.95911344683	0.0
did:plc:25kl6mhkkufghugwos5ecql3	1.93461225273335	1.16053652128424	0.5278190704667357	1547.0376955380025	2931.0
did:plc:25p4kpopu4xp2cgwhq2vr2uq	4.34691518080495	1.69703724172405	0.5519999459966636	3205.451855814109	0.0
did:plc:25r6efzs3gj7m4niiocafbzl	3.10784847145686	1.55810443129281	0.5328443592046471	3373.9419047979127	0.0
did:plc:25wvdhxzylqrc573mgtg64ny	3.75729201174284	1.50837345598578	0.788789413809294	1246.19456589718	0.0
did:plc:25xhpmxydhqlfxhc6if6gr4q	2.98298876459585	1.36643146668625	0.3797558163802544	1767.0204263151595	0.0
did:plc:26fkrnrusm4d5kfupev3qzke	4.35065583030111	1.63930751254153	0.8323341356650279	661.9157747691694	0.0
did:plc:26ki5gpdxmshu6jwwb6ztaip	3.33353360382585	1.72050062732904	0.7823948234227704	4330.687792388568	0.0
did:plc:26q3vchq2krlksrz6stnxhht	2.8804203722809	1.83043237596906	0.489874163347946	1486.82275158506	0.0
did:plc:26qnqawrjwfev5cf3xz5tf2r	3.6812906044677	1.55680634161426	1.0417250465716406	1063.7522663144266	0.0
