did	duration_meanlog	duration_sdlog	gap_meanlog	gap_sdlog
did:plc:222p42fegwhwfyrc3gqam76j	4.91277774596495	0.671391288641894	7.32539303346297	1.95944022887197
did:plc:224g3z6pqkn6kpptlrp7abmh	5.02076393053094	1.33022923719785	8.18151769089744	1.88357723852614
did:plc:22bnywkvxlx36yvogc5kiy7c	3.56962466815764	1.58011528386598	7.71760453172741	1.66123041447776
did:plc:22f6iu6lz6dufn4a2ixqem4o	3.23768974099878	1.45537566180798	7.89288352161749	2.00783772769604
did:plc:22gydod3dnrzu3l45tuxs36m	3.82035266075726	1.63467946613843	7.53810858101616	1.84447774453361
did:plc:22hbx4swrzrxeucjsk2rco3d	5.7082189812618	1.12971653332912	7.30191843042298	1.83427619459907
did:plc:22kdnwgvlauhoqqjw2tgxgsp	3.2891192465287	1.64048877133463	7.39717742908112	2.08394357659567
did:plc:22mcr6jv6bvav3tl3omodwkx	3.5925233843359	1.64394621647969	6.9371459698797	2.34110704204721
did:plc:22mdjnuelsmmhpb776csg4v7	3.64028434788813	1.43984776535768	7.98783460558364	1.63873031685716
did:plc:22n2ne3yqb7paavlsci4c2xe	5.73605178707331	1.19944373904934	6.89088605611429	2.29378811104408
did:plc:22n3kyg3gsjwjaxtlynnvl6g	3.68154874620623	1.98744512194518	6.81300489141958	2.33671807852267
did:plc:22ohh2btzxycm4sob5xmjjmv	4.58755360941352	1.54143825113976	7.73422265670505	2.04740886171841
did:plc:22vtz2aoxuksgivhwklovm57	3.63607868046217	1.50593461938984	8.14393678528153	1.55304275022724
did:plc:235c7vrxmzes6d46aandyvik	4.29301644098248	1.59077018261678	8.1009150006154	1.72770719957948
did:plc:23ey6vjsanzd6nskuqqwlo7c	5.16374210959065	1.3597889706647	6.79773145070266	2.04850108587967
did:plc:23jy4el7rvswcxfkijn4ujn2	3.27389037129941	1.79720804862088	7.06177147188798	1.86048293595294
did:plc:23nxbcpghhkwwcv2k3f4dqca	4.16918131187111	1.4218906371439	7.45443679856626	1.80749000048336
did:plc:23uebpytyl3u7lvjh46vvuqz	3.26227552377344	1.85291560766514	7.05569913886578	1.76589694502917
did:plc:242o4jo3zluj4lr5r5vkh53h	3.5082543568432	1.49669974643855	8.06393905837037	1.48288644737712
did:plc:246r3ct3eoap6m72w76sj3xm	3.40872515912258	1.52928768545851	7.53272932518847	1.74615434767418
did:plc:247sl4sq45wivab2hwlrlolg	3.63272516253454	1.35504183630053	7.32279020981646	1.63886627592374
did:plc:24ikri3vx3ptqpin76rmeinj	4.54253220942012	1.57103003383416	7.4279553670993	1.81633135248042
did:plc:24j73p6fbpuevxvh3nykgqll	4.34141277412684	1.54744844667666	7.0875705439134	1.82689990749234
did:plc:24l4i72hrqkcodag4fdrndlc	4.64496668728224	1.49644347914029	7.16919885736316	1.82531688701091
did:plc:24lznccs66hvqstpg66weaal	4.13702759119322	1.94245907201819	7.88670717142851	2.01339313045082
did:plc:24m57q3csulouape7wfk3pmk	3.99819577591749	1.64195307793374	6.93211774428514	1.71049000957247
did:plc:24n3cpgsd3eshz6bqe2bjifk	3.58579386900557	1.84241185426003	7.15883837985885	1.95416779398858
did:plc:24pkly54a2hlue6vg63jvbqs	4.87102182772305	1.2594668317276	7.49173805128642	2.13254223666516
did:plc:24tytnalzvtph72ejw3atwhe	3.60986050324002	1.60503822634083	7.63549382632686	1.94025317282267
did:plc:24ufgnknz53nu2rynyce543h	5.06478146892131	1.3002852277064	7.10248960048939	2.26697941586
did:plc:252i4ds5wgoyuhq4457czsd3	3.87384887578067	1.2715148487064	7.82044832622759	1.60501111827145
did:plc:254iojqqy66na4q4nhxeq4ei	5.43450195542463	1.06669610315303	7.10295324718434	1.92426230169459
did:plc:257fhkstr5bo3lhbyyj2iwh7	3.73958723897532	1.57654011979269	8.09940785864701	1.65584187106867
did:plc:25dmdnlysswxo7udousfsrh2	3.81264336533443	1.48763714084354	7.72445467327274	1.60527603681809
did:plc:25j63wu3oixknrbo7osrdzud	3.11820595280138	1.44954654032701	8.55812343232062	1.33435577179725
did:plc:25k2kpvmsnyhe2opl7ghcysf	4.2523685443659	1.32873118382979	7.42405112085273	1.73233775715235
did:plc:25n3n5dzq6h3updujzqdsrmk	3.60847919182175	1.30998514225017	7.82330879076472	1.6890265338728
did:plc:25popefrylaelmqtoygjaxgn	5.01619451115679	0.888902964627449	7.81176637333478	2.05787146685064
did:plc:25qvgvdqcpmhsbarokccp5r3	4.90498373816128	1.29676330689453	6.86911091306777	2.02149589736751
did:plc:25rpmtjpnmohrh63sdkzqjy3	3.79309655048627	1.39897807146387	7.83514621304393	1.50356562408205
did:plc:25t5snihmumhzstadncdiwfh	4.54613030951153	1.79141200813188	6.88287623047608	2.34363307082646
did:plc:25yuffpjhgoggojet2iyblpv	4.59727195275964	1.6228303307789	6.70962139646399	1.93748163722626
did:plc:267qwbqzdyev6kg4nz6gtkte	1.42581034659211	0.80291761201727	8.90009824318788	0.927474550023693
did:plc:26aa67pmvfyvi2ovafosfl6g	5.93764707611951	0.824978562642837	8.25801522723343	1.93141762076836
did:plc:26b4tgimjo5ayvek2atg6y47	5.1369171725173	1.11305066694213	7.80880622834499	2.01054578719611
did:plc:26cjznlx2osyiwkq6yh7qj77	3.30867443876138	1.66372711870002	8.23554784675937	1.33744277913883
did:plc:26itlig44xxq2yvug4elr5l6	5.47171146443573	0.950278624721945	6.71455793579074	2.44259981209962
did:plc:26jbsa27f62zwek5oyyvdasi	3.55932699043148	1.32935750834912	7.98104188605453	1.80724269240376
did:plc:26rlk6s2kofz5gcfvp2vtdto	4.75992476902142	1.3334893939385	7.71607014342474	1.98853854980189
did:plc:26ror443pdkzlp3uod3abtti	3.28859595764457	1.43101891728828	8.15828718395106	1.75140288526832
did:plc:26sqpljbaiepw3chqojsm436	4.95418433221881	1.46069442116237	6.84956785315466	1.919743631783
did:plc:26tu5yhkf5lvqb2rjifzpwna	3.82230887973175	1.5538514791332	7.47602762041329	1.97273286210434
did:plc:26vvpwnr2kw6mqdnbhwrhew7	4.00858140723185	1.25631113918824	6.95419342718987	1.89002941318482
did:plc:26znclebzervjmifc4cpf3ko	3.57778051765449	1.46577393181135	7.16012217836116	2.14563536125413
did:plc:273ri6bemptk6fajr2hxtcgl	3.01943957383697	1.5828839934205	8.47920482853866	1.34982460450223
did:plc:27fsy52tvvb2qojbjjtnfzwn	3.59252810369338	1.75399678668288	7.24154298937024	1.64711812628397
did:plc:27jbxowxyyh4io5ytlmbagqs	4.91259499627239	1.66671329882344	7.14807636686562	1.84363032696772
did:plc:27o7mpdjg4jiwi4xlhcjkjge	2.66575504047491	0.456709994465294	7.7830545218064	0.380441124950955
did:plc:27ro3tyhwxzzepnydepaww7f	4.87148548017837	1.34820083667484	8.69551595138482	1.3974435080147
did:plc:27ubsu4he5mkx6owfsdogxzq	3.62960273854001	1.35866166513999	8.13510085653697	1.40981621336705
did:plc:27uetpeuloq3mm4ajbz4emal	4.49439360400374	1.84962736513269	7.01336345285774	1.87030153641852
did:plc:27ynjnbos35i76bn7am3hgdq	3.79870958374993	0.21496375912684	8.82776327721524	0.431224930754302
did:plc:27zro4vnnsft64eidkyrlaip	3.14854530820169	1.76370389308792	7.65888153258906	1.76722384858333
did:plc:2advgx5oq56z3zqkduksp6cg	3.99998899026505	1.52469530352501	7.80088948234079	2.12592402845218
did:plc:2ae5dwsiobb6s5muz3wjon3d	4.52983288103738	1.73322243318752	7.53848481758519	2.01856325270875
did:plc:2aep3sumlvsc5wky3zjdx35j	4.01952675133732	1.63832745565281	6.87074884045535	2.06854310497894
did:plc:2afbuhgannpy4ta3wzsucuzy	4.25068578370166	1.47802188398614	7.0413061097503	2.27470490063549
did:plc:2anjl7gjjtowshm2cunesguk	4.85722420987908	0.902790171973824	7.01338070745294	2.33920666767457
did:plc:2attcjf5o7ynxro7zvlxgj6m	3.6811371833641	2.05129234081925	7.03066233027045	1.76474188473266
did:plc:2av55ptzn27bmvoxbgwtpkir	4.64951789825767	1.25302226270027	7.44340030636096	1.64631259968986
did:plc:2avnozkktsqvlt2lqgdmxuwe	4.39387956016499	1.82318027194627	6.46033272875814	1.8960549804605
did:plc:2avzeqgxez7qsvs2bc7f7kng	5.08414304761079	1.06473330034411	7.52372077768995	2.1679073226065
did:plc:2bbpdbgxgvxxgxqomctgr3fo	4.15585783781367	2.27848996727206	6.39934954147384	1.76982900077466
did:plc:2beg46oln3jycgaomm6xdphb	4.47666161801972	1.66841808434755	6.64383832100106	2.16371471674337
did:plc:2bf3gs2j35c2c3swknkcs47h	5.29089464631948	1.18445332856842	6.76349064432125	2.26510621445469
did:plc:2brgqoi5opfk57t2yp74xdfm	3.42066755827835	1.21711609801466	8.16229539734777	1.62117003246554
did:plc:2buxbc55fzqynjigks4t6r7c	4.96248194568111	1.23359007209154	7.16608106501389	1.88361117609357
did:plc:2c54s5gfttam7oumcdkkopbu	3.1253965900097	1.8455051556092	6.98098461652041	1.61981188281094
did:plc:2c7bghf63bxbnv4vapfikvon	3.21587808162204	1.49248722233766	7.52945685295212	1.91708437644392
did:plc:2cbrptpb7scflfg7fmly7hc2	5.12730499346393	1.1258804647395	7.44967481574057	2.0473021985727
