did	duration_shape	duration_rate	gap_shape	gap_scale
did:plc:222i7vqbnn7xil5h77mx25cq	0.521943577402385	0.00391925717550606	0.681292022555565	16342.4270179882
did:plc:223cpcieytdlbmzovhs2ypg2	0.64750044494431	0.00290371085700979	0.552952809340784	9439.20235270076
did:plc:224iiaguk7vf2voy4jrvo6sj	0.474549543961691	0.00299435188610994	0.601296788938535	3158.26431010955
did:plc:225am3zrbznbobftp4p73exz	0.66367775267246	0.0037658736116235	0.60421757331315	3370.91959638538
did:plc:225u7jl43wlv6y4jly3jnrnp	0.606607421202315	0.00542849786323747	0.531193214039613	9482.29650596213
did:plc:227mkuqdjcfsyd7jyuaywecq	0.693078536070226	0.00205348335998374	0.717721509244802	12229.6902101986
did:plc:22bkkl4tuw4ccyrifnd3do3o	1.39586693219271	0.00383664366292144	0.504694492601786	5792.45742063103
did:plc:22dfqbvwsohfbuca6wtaeliy	1.44137895838619	0.00463846136074059	0.70216454693229	12813.3732300783
did:plc:22dz2gw76hxdwpmkblrsjojw	0.563887149346696	0.00696280190122296	0.619409623679821	6547.54985444449
did:plc:22irwr7kpwmwkk5jrvntis7y	0.480153887384979	0.00475580233951489	0.666044275584624	4494.09294095052
did:plc:22itpnkm6x4kzcf5d3x4agoj	0.637813297141799	0.00383890249985748	0.607113358596468	11825.0471028992
did:plc:22mwecf5pdrqasewcqszirei	0.586652370262522	0.0080231198925446	0.791110927655838	8994.76963887296
did:plc:22n3asg2h5vtvdafydottxjs	1.42113576879881	0.008559706034324	0.555112767919914	11279.0688880341
did:plc:22nwtx6ldcnbvgnybx2g6sca	0.713053494623107	0.00574257307972772	0.60410933409111	5979.74783235826
did:plc:22ofu7bn6nf2m3kayhnp7zjg	0.810949696103074	0.00264622526024926	0.587379129972307	4499.79128499481
did:plc:22oqivfimcojie2w5malhh3x	0.554877136946819	0.0023935650621885	0.57844501622583	2874.44808023292
did:plc:22pvumuuwu5f4sibzmbvdwnt	0.683479951058524	0.00308480191816722	0.746927607249995	16339.0575624511
did:plc:22quu5325gfkdqk3xm6levth	0.690038369188612	0.00537612903757643	0.658274803822492	5680.19122291279
did:plc:22rbs4jo2yjzh36jhmxwa3d2	0.629198110402169	0.00307413042136926	0.620635049907797	4973.07130210648
did:plc:22tkvmk7w562u3vueqeufkoa	0.47876828916194	0.00295768643888104	0.487300100233831	3651.84307930421
did:plc:22uskrucmqqtrc6426ucrxel	0.792339510335143	0.00441578247854693	0.665802346599234	4983.36689982164
did:plc:22v35hqau77qb45dy656cclx	1.38684802629928	0.00732007556990869	0.65121125819673	9315.10477398244
did:plc:22vlzr35huysy52r42cytsgr	0.650325435070082	0.0029132048578028	0.588693292977019	3070.09375120512
did:plc:22wq5s5kylq3waukyywgz476	0.551754351357675	0.00293884738290033	0.529564517739587	5555.92905364328
did:plc:22xlzbrujyhnzegfw57bhlou	0.836315813999964	0.0020723012205723	0.613012236509564	2325.86856791879
did:plc:22ztl2so5ak36mil6fd5bxb5	1.70194952235152	0.00512715759235571	0.572308581902858	3981.34121515628
did:plc:232azgy53in26qffaoxntxnh	0.705333294086216	0.00480734649362974	0.690860911756055	4887.42157026897
did:plc:235xoowgaqea6s2liojjrpdj	0.463830770297204	0.00273938763167292	0.497240746160942	5443.70157240095
did:plc:23c4uggpdwcjn4vrmyd6w7w4	0.687637163362226	0.00419225951556992	0.661467885910827	6317.60173803423
did:plc:23chyvke2zh66czc6v2aipsq	0.694530831236623	0.00426236515334664	0.611966960153778	2762.38377426439
did:plc:23ejwqzjwnhlxlxeqc5rxmwq	0.619073412973039	0.00277261905774861	0.898019916497895	12782.786231759
did:plc:23ekvzdlgop6p4rjlyeqia4i	0.710039353584582	0.00319085498633885	0.526697042676857	12691.5382130534
did:plc:23h7uuazi6fimm53u3mpi6ik	0.722076055154522	0.00436830097192489	0.59770822442778	4845.72303754892
did:plc:23hmsxoelkvtvialwqkiz2r4	0.819924678587372	0.00228566294719569	0.62769065470318	2998.14867971671
did:plc:23ko7t6vjhe242vuntn4x6pr	0.569202402451783	0.00506945697449111	0.617844402850059	13111.7668551541
did:plc:23mel7pssvi5c26aui4m47ml	0.563014060291374	0.00437876778159419	0.703082693244558	6668.64246293631
did:plc:23ocdohg6vmdvymlgn7wm5bh	0.677058312989209	0.002262692983922	0.649754594669689	5692.20122377897
did:plc:23pkvhsfldybla3l3rj7cji4	0.769508420348145	0.00386325103440774	0.729157204932901	6061.72661066964
did:plc:23rhthpu34mlc43xf4an7z2t	0.509284660924489	0.00769825309387993	0.688118361212388	11021.4087597826
did:plc:23tyvtfgjiotkx7cbpwsm72a	1.53342559708792	0.00238104213169086	0.45569373904824	6752.39527688386
did:plc:23vdndlj3r7n6pl2j5hqc4wx	0.514706197453131	0.00507994406289736	0.617479305272457	8572.54359255913
did:plc:23wdbpqd3weei6m5j7anau6a	0.527585120395296	0.00323193831268439	0.515165423825207	6779.83069084303
did:plc:23xbkwkkbz24n55hydm6fh7z	0.727309730951982	0.00461849853602388	0.645327562201826	6023.4021199807
did:plc:23y7whos3gupc72sg6c5x7ss	0.806662850445603	0.00341456924876561	0.624152379016812	4266.22395400917
did:plc:23zmwacahs7nyl3uagjeia7e	0.728838679078571	0.00449221381291638	0.663780893405249	8566.50448281231
did:plc:23zovsd7cwurqu4dqyugaww2	0.519086836097882	0.0036623677544796	0.596184800459701	3591.25884147344
did:plc:24awzxesiwjuobyzfsrsxoqp	0.700577267351251	0.00823057101937667	0.652961164592675	12359.2454309384
did:plc:24b2wevqftjdjstafbwdmji2	0.799843964307598	0.00272184693793707	0.718405638916994	4417.00442283043
did:plc:24bbhbgtwttds57i36sflte5	0.775108519690907	0.0047748398467428	0.592034042087621	3789.69346282201
did:plc:24c5zft2tu6n2ucvmnlb5fjg	0.572745683452507	0.00250837670900204	0.498172665797067	6974.10869829049
did:plc:24cvfe73lppcnjjrfmqrz4jf	0.683183161279847	0.00291506427335952	0.596486475079624	11065.3034031069
did:plc:24hnkyzkfnbnju7ux2m2rfip	0.492582045717284	0.00329241265028455	0.746570995047755	11391.483126366
did:plc:24l4az7vv77vnazhmbub55kc	0.548171320322255	0.00531322240996693	0.719037487144789	7228.67603008562
did:plc:24qgrbugguvup42n22tnnah6	0.640045686741811	0.00567848239162016	0.88159746474111	11621.9527787417
did:plc:24udvrsia2saglssorh4rxhy	1.33538549629928	0.00553341494568885	0.614927669832812	6571.35650840597
did:plc:24vva42nxim6zbcmnozegoef	0.606942093003764	0.00273566280523537	0.618453741514521	2631.03417758955
did:plc:24xaq2i3wipz56thxp42z5gk	0.582283090243788	0.00281458697898113	0.743086589368779	7268.91171329222
did:plc:24xdbo5pabcsx2fi263fohxo	0.702068265985048	0.00309726784856152	0.653494397742292	11126.6133804523
did:plc:24xg5ba4u4zgdcddcavnfbsy	0.614743194661091	0.00389536500021302	0.617438342216403	3481.25574355734
did:plc:24yhjwowyqr36ndtcoxjnxzu	0.482064858546225	0.00301387891234914	0.63535376479732	4589.62082313736
did:plc:254f4dsqzmdwnpf4cs7ndrvf	0.817705114820771	0.00346501509978395	0.658726088176464	4507.78167495594
did:plc:25deat3v5dfxvgxj3fypxk7n	0.636599020069617	0.00471587109401396	0.74612607592866	11777.6474755488
did:plc:25emeum3adu4um36ul35ilr7	0.608219994317856	0.00619108509890453	0.733399010737268	6566.99789354626
did:plc:25fes2ou4bwh3y3tfguiv4dj	0.477634538845547	0.00234805321031122	0.571069592832924	5189.32660728637
did:plc:25lnlfe5czvo3gxja22wfmnc	0.708299675627796	0.00308929678530345	0.600195093208727	3907.1829021504
did:plc:25lqgnfef4pbzu275my53tcv	0.699016396271187	0.00388946156281388	0.585902478302206	6398.38933240318
did:plc:25mmtg5qrxvlsfnyuznhkzkc	0.756571573262048	0.00285046876569004	0.68667156286704	7308.39363894703
did:plc:25mx6vhv34l7mtqtae63to5f	0.60207522083364	0.00356392964108689	0.653335503819539	3024.0443713121
did:plc:25nxgin7gza2lg3dc5fexw4x	0.563555622534799	0.00234448032331264	0.52635929738554	10094.1782664622
did:plc:25qidljrougshx3np2n7akdi	0.497207564387518	0.00296175272238857	0.552812148710816	3057.91139773386
did:plc:25shwaacuhrvqisizybvpbd7	0.698029720112216	0.0030952368283874	0.664687447163048	5202.68758993545
did:plc:25uxrebvombaxlvxiuqrwe7h	0.515991955325123	0.00392308788743066	0.819133874264443	13686.1224138535
did:plc:25vw2wcpx7ihwe4ki3zhtmub	0.643231587751378	0.00649431664700478	0.710923054998069	9443.42473625922
did:plc:25w64r3zefpowtjenusjnfky	1.76838009489898	0.00397345918784717	0.644804778516414	6341.41014656537
did:plc:25wbx2fasocxny7rj3y23q2e	0.586176511842969	0.00452169648732539	0.677126036939856	4214.35979915928
did:plc:25wvhgltz4rdtiit4ow62xzf	0.694747980497972	0.0050046330538081	0.559816973888391	3854.46385592436
did:plc:25zgnsy7dl46d2d34wb5cony	0.483881014875977	0.00315499252654018	0.542975458383673	6496.95598380056
did:plc:262lrkmesa5xzodanh4sqxkc	0.578321199114938	0.00361550953947874	0.756418614724638	5201.85188506225
did:plc:264t7zp3nvjl6vhd3zttxevq	1.48181442255094	0.00928323753176091	0.798257590695964	9052.87785878834
