did	duration_shape	duration_scale	gap_xi	gap_sigma	gap_mu
did:plc:222gnnbi5wqbs7y2tt3dbowe	0.748705172502773	66.5208938779625	0.5413361479418614	5351.150373091066	0.0
did:plc:223xmbonln2z6txstz6xfexd	0.799490478775715	81.8645033286153	0.531911231740493	2573.21475708263	0.0
did:plc:223yxsx3ifr4vghg36hi3w4a	0.781113489748952	291.382192292306	0.6994288676913368	1677.8814100289355	0.0
did:plc:22dxx34ynw2346d3c35hvl5h	0.664569975414216	108.185550545986	1.0553425137809875	2056.957662051157	0.0
did:plc:22fq3lbxjlsjufnxr4bzmamn	0.783241307595701	314.221636343611	1.5136974478000957	410.04948691406196	0.0
did:plc:22lwuulveg7nf7dtyss2cyph	0.803002823701759	753.886282483189	1.5709661780863073	348.0552431967744	0.0
did:plc:22o7lahmerhwwjgtf263fj5g	0.615992427770056	64.2622790795062	1.5250921565156417	1935.8923607394263	0.0
did:plc:22tgdh6qvp3dvf5smkbutae7	0.653716310971812	197.739427284305	0.912636851225227	662.3877186600155	0.0
did:plc:22tv3qksd7iddh4rg6vfp3vk	0.793034112414767	229.998174466442	0.7930560744272164	1021.9736926114459	0.0
did:plc:22tvwntlwvpk64hixsuaktqg	1.59272562767843	202.300098005647	0.782676172517753	745.878460272547	0.0
did:plc:22w4xuatznlr2a65xslrqebv	0.961538595673516	651.878611628962	1.044513141830953	499.8150731841694	0.0
did:plc:22zhytm4purkrp5faxzqgg23	0.775082218200992	91.8749631300377	0.6649552700991654	1827.2533863893163	0.0
did:plc:233alr3mmnldssbs3zbi4dg2	0.69709481954586	90.4878408070187	0.406086482794247	2349.08770357296	0.0
did:plc:2352lkupryo5onslbb27yrqe	1.05008038950853	615.600955355773	1.1948934762390087	1606.4900514599176	0.0
did:plc:235qbcsmabopix3ytu5emkb3	0.82040622225287	299.883271521479	0.730077108891223	1364.0979909954317	0.0
did:plc:2365pjlaqhkoh6hnvmswybkp	0.871339394332255	206.558920470205	0.9622384593916358	463.3578401934454	0.0
did:plc:236calivll74tndkgfikelut	0.684108969125297	83.4832883097067	0.8249664024934007	2725.5141702951028	0.0
did:plc:23axt7vqqtfyyoei6ym3s62e	0.802601112101353	183.340156230466	0.5361575916287179	507.73724291772487	0.0
did:plc:23e5log2m5eyf7fh4qswnvv6	0.629590596483242	193.232369431798	1.0370237414553136	757.1420829761631	0.0
did:plc:23j427wttn5gy5v67odpsfm7	0.711688763288855	284.991868337427	1.0829398062933615	339.273181364082	0.0
did:plc:23jypzthwjpt3xctnrsnju6n	0.681998036943729	202.10476469944	0.602771891352723	1996.233581771	0.0
did:plc:23lzoib6o5jzj7aryokxrdum	0.703885076870321	201.439399968459	0.9763866416828052	533.8623811046932	0.0
did:plc:23nchbx3vafequ2dkiq2akvo	0.865611387515479	209.231645205844	1.1204526314934358	686.0280077968438	0.0
did:plc:23oelrio3jxytfvieo4ul3b6	0.874875132679881	584.073364745879	1.7593699303235246	177.14922407811383	0.0
did:plc:23owhqnljxiuqa34iapv6lwl	0.688204111871498	98.0105706933192	0.6031237447110076	1646.7249731566117	0.0
did:plc:23s4t4ejcuntbnjmlhpob2s6	0.764178229484549	289.096855992333	0.8409878813943411	485.68697314455153	0.0
did:plc:23ufxoaspybtxoxzaeycbxl5	0.592154848688924	52.4307860271242	0.7736681642319648	2125.40201500287	0.0
did:plc:23vyv7iblfrks7a3vdg24evo	0.845810659588131	144.237967576446	0.677808182370729	2912.87913130297	0.0
did:plc:23x77qcyzwrhohzlc26ja3f7	0.820184085893635	147.746420835167	1.6838538201057542	515.6570936014904	0.0
did:plc:243kqn2ye26iwqgztishbfqg	0.680818366975641	294.169839307233	2.5216231883785842	265.15773750359995	0.0
did:plc:245opsb5qjzkprwi77izobz5	0.710395545946889	393.667892873587	0.693363411298934	608.1437797609814	0.0
did:plc:246cslw7dzq7245h6lvwtkwh	0.693558302396258	84.3498531987662	0.5601129739025181	3093.752468246277	0.0
did:plc:24dzryqenjvpfz3xchhu2tts	0.801988908332144	222.751194563284	0.8044707712887456	1464.3309078672798	0.0
did:plc:24elwdxlcwb2vlkti2llaibg	0.697267340418123	103.523681957688	0.6569708899872009	1106.887104337375	0.0
did:plc:24ezta3yvurbzlnkzwcwyg34	0.743504155820163	69.8704055623421	0.5503366461368085	1892.942906473805	0.0
did:plc:24hamcevvkrph5f7ket33rcm	0.524842326685654	312.457065026014	1.670226659981366	274.42710501110395	0.0
did:plc:24jrrczh35qprzicuogpde6t	0.736465954661949	181.688766099104	0.6205522802381046	1876.2517753989162	0.0
