did	duration_shape	duration_scale	gap_meanlog	gap_sdlog
did:plc:222rnvnta2lbl364bog2plxw	0.724022678334886	227.727432711428	7.27528498074497	2.09101408506801
did:plc:223r4bopyi7riwnnbsteeumd	0.799779698598745	139.411689004931	7.74437715966184	1.79953265258145
did:plc:223xhskrta7j5u2eptfb3dok	0.709987023345112	259.455054739398	6.71699201960361	2.30871927529049
did:plc:224ylblbl45nowmd3bivounp	0.686814472268746	131.020012665799	8.11869605707852	1.531538281518
did:plc:22744p6ath3d4ua7en6tjl4h	0.741971944162355	157.007876836685	6.92170941707946	1.56607616176529
did:plc:227vwq64pakhw7ix6smmqazc	0.817543751199423	226.439101105396	6.98403716871017	2.000904963837
did:plc:227wt2beuowy4ufb2lv65tqx	0.602457701406598	75.6957135378196	7.53117296577316	2.19225262325597
did:plc:22asoggzz4u7yppfet5rbd2v	0.77532826668094	249.710867818035	8.03401691855064	1.55668521201912
did:plc:22bb4y5cxdp3eucibibb4fkp	0.731390279173664	201.615115833263	7.28360654719955	2.01726290104526
did:plc:22cgsvs3wt2yekhqrb3bvfzm	0.660798211359034	79.5123264777077	6.65231396805874	1.79150876314574
did:plc:22cqfgiatsi6wysprz6i5dsz	0.806498320890977	729.615063303182	6.98724756646681	1.83049713780134
did:plc:22gi6mtrqe2wo7joz7yym7tp	0.819266748913308	342.845863888087	7.63400422545042	1.88501917729053
did:plc:22jcflnbnkynvzv6x3hs3x5j	0.686146519089449	153.912379022825	6.88197058866223	1.95266519754224
did:plc:22l5hixwr3ffouf6eabgpvo2	0.807789228100769	156.647361288403	7.61707731221338	1.99193200899876
did:plc:22lnvams6upm4zr4hp6rxnru	0.747084759889143	94.4967093301184	8.85768848871334	1.19260089043953
did:plc:22lskm3yq2efjhkanfdo346h	0.577004239025063	177.992465373524	6.90512298889062	2.31418954910672
did:plc:22nbdyy6osxr2hepwh3n43nh	0.754436671590909	227.417424505001	7.04413630580419	2.16005710355258
did:plc:22o6bzavrjuqkowfjhxzxusp	0.63097759098909	163.878985038037	7.90514025864415	1.75099046669652
did:plc:22pffrh6ot2qrvlvwraulyfx	0.655656105319122	278.551705572284	6.36281035035234	1.87313216118405
did:plc:22qifndqapgo7vpzdsxdjf6i	0.960282233991064	511.876744318233	6.50375570596999	2.83303822871565
did:plc:22rk5khjmq2ja7ccw3bkq7h6	0.703682313173399	100.941162222556	8.1238961066602	1.56731055115577
did:plc:22ytg5gvocx2igjmauxxmt3j	0.784704868347975	213.606213374357	7.67730545698196	1.7287531754788
did:plc:234e6xj264lhhvxxlszj5ymb	1.24151697332752	309.645856366253	7.12218210261983	1.96218579361459
did:plc:234w533nwdkdjxwznuepmkhv	0.683291728746777	158.610802192253	7.24936916885634	1.98242451461612
did:plc:235gcub4hiqwhqevewuunzkv	0.826940090840542	340.850006555986	7.12138102068384	2.84100223964227
did:plc:236snx5jo3x7ytrfdvz25n57	0.804070714322175	129.124110192935	7.52568602931368	1.85246218329926
did:plc:2373gmka6swamb3wwcdqoefs	0.91969868658588	513.340035020382	6.03087006250314	1.67860894481753
did:plc:23a2jubisfqhw3dw54qctdri	0.864757040825202	340.154129275886	7.34709451476749	2.23815570388416
did:plc:23b4l6zju64am2zjqpxbi72k	0.929364946302572	530.599962238886	7.07490405395703	2.51170353979856
did:plc:23dls5ojb3llarv5wc4bubpm	0.771359459437841	201.650302250883	7.11370603485276	1.7002027183957
did:plc:23e6qmug2vwcnsfv2fywuy4b	0.789119201770747	479.197281037392	5.98375103980903	1.96587472067857
did:plc:23epywkl7mojdkwqbtnnfvs7	0.77046887239018	410.98570782524	6.84978470963993	1.6902761939684
did:plc:23i22nsp5ngjawpnypj2eya7	0.787737629926571	346.670778570178	7.65484874681297	1.96112825769946
did:plc:23iyixtz6a7hy44vf2h4kc4y	0.831091191418505	328.692325109767	7.1754304107938	1.87451059108478
did:plc:23lx7eh6fgtozhaogunq222k	0.785172847064557	335.852858942305	6.84412830022333	1.84593811070389
did:plc:23ndpsy5huh44lhlzixygihd	0.749579027711464	167.716888272296	7.2975526034823	1.68796287815375
did:plc:23pc2ywkoytp4lz4pezhkyfm	0.820966835820182	300.229411725218	6.74882315990734	2.12481111036166
did:plc:23qeqysal63digb5ubffmrvg	0.731846259624333	334.095327048782	7.35063124492697	1.89462728851613
did:plc:244dhc5kw7asrhd7i4li7khx	0.730575412847952	263.700604839193	6.54955840731989	1.97958386677515
did:plc:244xl32fo32kyegdmqe5giwq	0.525220849835142	142.453974124194	7.13754707032606	2.12750494862701
did:plc:245kmgm5kwfm7vef45qb7y3r	0.811566630683396	340.584054342514	6.1298425570822	1.80693796080113
did:plc:246xwb4zcoo6bqj6in6or2e2	0.823738773735788	483.283445650361	6.86590033566176	2.18602588522206
did:plc:24axfkkbms3tdgkckl6nboh2	0.838997481570488	208.884877977311	7.24920267901863	2.24651309247915
did:plc:24caeveukqvy46evpr6ateui	0.748692943273678	130.860827582762	7.17448783422424	1.91617723367214
did:plc:24lmdnes3l6oa2hektwbhb63	0.711373467496503	609.180628917681	7.21573304883127	2.19926305373215
did:plc:24ngrqljhck7hpvbgrg7a23k	0.632986198412093	145.482872018244	7.28958378050589	1.95106055949034
did:plc:24o5qvyti3uvyz7nq6yxk3hw	0.727065364615199	246.509287035708	6.86498257863789	1.72201388294235
did:plc:24ptibumhbx5k5rsgqzrjydq	1.3486368934479	241.04986279728	8.48135655790794	1.25218224094922
did:plc:24qap36if26fkmv7gcqe6q5x	0.750255742025091	270.565147370969	6.83652005873748	2.26499854084301
