did	duration_meanlog	duration_sdlog	gap_shape	gap_scale
did:plc:2223nm2cymlcxuluagkbg7yd	4.5187284910954	1.0489236346704	0.675667761318859	11189.046293043
did:plc:22432mcigx2wdmymqvv55xel	4.3045835207991	1.71029077610364	0.950868320311971	11945.431325203
did:plc:225s45yvh5e6q27lfffzrzm4	2.66121803447694	1.72047601502181	0.772768681655687	7789.03879563132
did:plc:22bbsnxhd33spyupwiw37f3n	3.53392828933428	0.913940000424593	0.665761247290909	10082.8672716448
did:plc:22bifsykkjirfnncgsryjpbw	3.62333562906885	1.60270640932394	0.710930467350659	6947.3823458463
did:plc:22i4r3bgj57rgnef736qve37	5.12564392751518	1.03374906700018	0.713386554803966	4840.1876481582
did:plc:22jfhyovti5lftbda6uad6kv	2.42340482806713	1.07280692041026	0.884013950012391	9911.55746390997
did:plc:22l2z4p4qhhyobx22dfcvijs	2.56306174857167	1.40069578448732	0.703743332764969	4183.49199438126
did:plc:22ltzatytb5tmr3tewf7wbeb	4.88829615228533	1.64913201769899	0.54862350955978	5735.99014816581
did:plc:22ndjx4s5ldytxeierzw72i4	3.37172313683047	1.38487924384746	0.696447210660183	5560.13906938842
did:plc:22njdz6mcntc4jzvxhse2mth	3.5800500912551	1.33581039273498	0.796689645320911	10822.0196501011
did:plc:22pb6h47yam2zwa6rrop6atr	4.23489507273785	1.34989442115446	0.691236116320474	4611.85373985032
did:plc:22qib46qdyujvqj3omlgso6q	3.93996782044934	1.60678639223049	0.756783613064034	14142.8243900162
did:plc:22rp2efnl6vjsbraxmeyexfz	3.81822075488597	1.3712482675519	0.657749287909284	4001.57714532056
did:plc:22sxk5gv7gwszmynno4qylky	3.37326463512257	1.65669049738347	0.634279564114044	5770.65114061309
did:plc:22tplkdis5afh5r6orloy253	4.30153623598092	1.31008578348147	0.914866889103723	12277.2436015541
did:plc:22xn5milf2z4qt6jl6gx4fwb	4.11771946326352	1.36365286228063	0.651841250100024	6161.62028167564
did:plc:22ywb7ztki2lesjt6zzgnxyv	5.1027110412843	1.5342973751831	0.725825941795247	10469.0496969613
did:plc:232ozf3prtcbgkueatmagxe4	5.56640085568377	0.457173481815722	0.764828194787048	1087.04549721818
did:plc:235boeodyait575gq6wwh3gq	5.70107272557421	0.918384131292172	0.656507479726341	7797.99024444045
did:plc:235cqmjmnivjxn3ms6w4hfpb	5.66634270914028	1.07154333458072	0.489379757680983	4277.71297213967
did:plc:23bjkib7lzc3cupoxpfncoyu	4.52928313818998	1.75404535504412	0.573124109765629	4317.78966135634
did:plc:23bwwvw3gkwk7dumps5ozeqm	4.46878290647992	1.40587893495399	0.62460593839388	11508.5247069976
did:plc:23c7x43wypiucbfqc3ykos27	4.09234919000825	1.51546752559896	0.680200900286794	12925.2440203854
did:plc:23dujmulcqw3b4du3pqxktdc	4.17174911416215	1.09250661840681	0.632853310219955	8024.3762747582
did:plc:23esqceleecia2wd2jap35zp	3.87644794452045	1.54838310349837	0.804033619583855	8133.45790805853
did:plc:23hg36i2xrjzwz6gqq3hpgxb	3.99237469543554	1.64378324781492	0.574263973037621	6096.62190394256
did:plc:23hkm47fpgmmsp5fdjegekzj	2.73595543522432	1.72307807756514	0.911395401281964	4397.90726517641
did:plc:23m4peoipdsl33p5ml5vsadf	3.31727474190432	1.71293132631154	0.574993429417079	10273.5290240973
did:plc:23qvooetdidpyixkbflu3urr	3.17361660971871	1.48926332732523	0.615376100476323	5086.54597722064
did:plc:23ri23mxwfkbr6ktwkejtyqz	2.85914189504262	1.63796538881564	0.798478129756985	7487.83972665175
did:plc:23tqqqoeeo23dxrwwu2yjwwq	5.33663677210563	1.14643558860707	0.567142809538582	7633.56040045659
did:plc:23wylgtr7buvf5g7ccxzvaqy	4.71167276305979	1.21359410570968	0.653346740117726	5917.23402594747
did:plc:23ysdh4roro4qnwhcq4tyrg3	3.90009097827224	1.53547786690191	0.651423586218156	7007.71465756132
did:plc:242klu2qlitxuozyk3ra7cpj	3.55088422278482	1.53277536017732	0.620800801813694	5751.0957546358
did:plc:24alqtstkycnqsywgpzjhj3c	5.98627504015454	0.915420777729557	0.542202865103163	7579.44400546695
did:plc:24gfonn5qetx6z3e7zhv64gn	3.58888607441199	1.6798134882452	0.656740311469056	8395.50910464573
did:plc:24ibbllaxhlvb4nifviuisja	4.77191636671356	1.01403957379001	0.616553985027661	4789.33617099174
did:plc:24itnmm7kylcmuxcgan44twg	4.3098638770994	1.23709101855876	0.637781730626443	6101.26035472895
