did	duration_xi	duration_sigma	duration_mu	gap_xi	gap_sigma	gap_mu
did:plc:223xvid4vlle2ujoq43bb4h2	1.8100728222769973	10.860436933661983	6.0	0.7048598815240635	4869.77039552396	0.0
did:plc:2245x6sqmbiueuqzhjwllydb	1.5059270077848756	240.9483212455801	160.0	0.9286419405763199	191.34510155079144	0.0
did:plc:225g4y2e35b4fylvbsbe752f	-0.402973539709097	406.910173107583	0.0	0.7684164868225832	916.9831248984786	0.0
did:plc:226df2f3asa7lnde65j4i3lu	-0.20346744747039	460.816012419107	0.0	0.5957188103399407	238.1696331424336	0.0
did:plc:226kfwd7yfn4izogpdbiuup7	1.72170948455154	1.72170948455154	1.0	0.44321572571244	6417.43392628264	0.0
did:plc:22g3a6cwnj2jxfjgabkihjdi	1.6141821306793205	11.299274914755243	7.0	-0.392544901951505	22730.5489643189	0.0
did:plc:22niu5w3iw4cghdpdqomndhd	0.310520445357228	144.532834778637	0.0	0.8309110084673508	1275.8831406102388	0.0
did:plc:22spwweh3ipnyun54ogo6u7d	2.775863926644971	2.775863926644971	1.0	0.7041543411056024	1988.0922691627209	0.0
did:plc:22tjxkktnhvayta4nhrfjjhy	0.3385990157217856	74.84313296364435	0.0	0.4016034114130308	1778.880755237186	0.0
did:plc:23cmzbkoqiic3yj44yh7lmel	0.5770420864422456	85.5617078271514	0.0	0.0571140906987969	14580.8191161119	0.0
did:plc:23ejsvhubgejw6r3z2lqfiqf	0.478216671311326	34.2447737757266	0.0	0.609224624429707	6242.45824753652	0.0
did:plc:23hx4slusam7yovblbcestdh	-0.0572102702599976	967.960244638448	0.0	1.198259789052438	1061.388828276114	0.0
did:plc:23leb2qbyjkufil2tvkqnwf4	-0.39802079921471	263.755930593503	0.0	0.7214777852520047	1146.0808743200698	0.0
did:plc:23nyrn6q5s3obclj2wltgagv	3.337515113799197	3.337515113799197	1.0	0.7064066259537867	1552.1255278769768	0.0
did:plc:23t2omov62a4uerngior67pw	2.0929714716524734	2.0929714716524734	1.0	0.5740687210366612	4730.6464459036415	0.0
did:plc:23tc33rlb7lsuv3hoo5zqxqw	2.928708632259126	2.928708632259126	1.0	0.8122176163125833	1793.736836945808	0.0
did:plc:23vqp5mwlcuy7n7uxkanjptc	3.3319271232286796	3.3319271232286796	1.0	0.6423624980523304	712.6506092517961	0.0
did:plc:243jflrwf26pexfbauihzd3g	-0.391279852932994	450.727982113712	0.0	-0.510396757643611	28047.314258198	0.0
did:plc:245ryzg2mvhipesm7odi53s2	0.26683565417194877	170.30400825016636	0.0	0.8637327834881076	638.9608223987631	0.0
did:plc:24adbgtcnm6gubfbrzubsmqw	-1.31756747004974	245.067549429252	0.0	0.6946684262207301	2159.029468694029	3108.0
did:plc:24c6gxqj3offnuh4gk7gchqc	1.981320835582269	1.981320835582269	1.0	0.25314660342548784	9476.269210656257	0.0
did:plc:24otxdgx2fwuvqfx2spgl3c3	0.348258483706762	113.819297930362	0.0	0.6329642107284194	986.9638005680276	0.0
did:plc:24wzsfj2kie2sqw4rcpmnwtc	2.855763285476529	2.855763285476529	1.0	0.7236907424707743	2228.8575840119033	0.0
did:plc:254nlqitb7bhhesgugjjo4sg	0.4074445712532195	100.74883332744606	0.0	0.509897757612176	4630.92541134409	0.0
