did	duration_rate	gap_shape	gap_scale
did:plc:2225q3mb2icqxvznenlw2vxj	0.00272149984899453	0.645646119701945	10438.8415072993
did:plc:2234h3yvztgfgdp7q3rqp2q2	0.00542652485404208	0.642851678883012	6355.07178008802
did:plc:223bx4usklxh4ub66jh6kdwa	0.00339298782563361	0.626417122559275	7637.98916290129
did:plc:2243j4lbktjko25rnplykmnm	0.00742508618511513	0.767602959306544	6913.22372708399
did:plc:224zxzkkmx25hw42wbnagbig	0.00408563490793053	0.731188705946845	9417.24785443589
did:plc:225zn2cf7d44phfsglnwnrh5	0.00223549973587594	0.561867788287446	6795.15815533272
did:plc:226zpauxfbmmhxyfelzlk5la	0.00237709892778833	0.505969059330939	5843.53207321276
did:plc:227f6f2ylg4sldyohwpwmihd	0.00429705745001752	0.627613914979503	2159.52296540589
did:plc:227tpdl7mx2xeo45zzwfroks	0.00579494799634257	0.555557073276413	8969.47211636915
did:plc:22a35hqjfx545isu4nc2cpvt	0.0029765448269074	0.63385650404182	8311.54626402516
did:plc:22au5dhb24ytgio7hcw7vps6	0.00765027322897332	0.637761196456819	4734.51971907328
did:plc:22ayl4twj6bdjst4exgrvfpc	0.00600240096243877	0.599258606486927	5800.10983664609
did:plc:22bifbte2vlm2r3imffgwezf	0.00427616926526454	0.6303699174214	8411.57863844124
did:plc:22cjmjrzdvzoofv6skjta2g7	0.00268653071212755	0.485854499876933	4914.66894214225
did:plc:22d25hzriqbvtdym7yzgxzkr	0.00565053607699322	0.657312671965328	8728.37384970362
did:plc:22dqq2gforkkmzctv7kid2ve	0.00635930047867207	0.512521884098349	5013.89777475519
did:plc:22ev22mavvva323j2otinqbg	0.00734564224848419	0.713872172682284	9888.875132247
did:plc:22f7x56xkt5tbsmu7p6nnlb5	0.00596870463186901	0.613201924052486	6780.84417315342
did:plc:22fjc2vhlxq2imci65tp5f77	0.00450045004599257	0.769832951220461	16647.3706755301
did:plc:22flvgza4jt3eopggi5kcy42	0.00345833783682246	0.916453459054719	14552.5948292631
did:plc:22frurx5cgkz27rpdfskwlly	0.00378413952126251	0.620210209578866	6809.78722996168
did:plc:22fwdcuuwaoqv64mdyqx3had	0.0029542097490379	0.620289631965539	9218.3369167126
did:plc:22gavpartpgpsdlmaur2m2v2	0.00596497979813015	0.622058120590487	12087.2301183485
did:plc:22gbg7vkkccsw5sibcvt3pt3	0.00472289156711757	0.727627378911536	5762.34027967026
did:plc:22gflsj47qqkrbro2lusqmws	0.0057561486156247	0.778630305885718	10298.2553260657
did:plc:22hdviakeywokpnqy6irs53j	0.00364656381486736	0.635119495543502	3300.85222290787
did:plc:22hqzdfgxjc77adjkalxxcs2	0.00349618180145712	0.519525534638846	5933.63056066102
did:plc:22jmqiay3tj4d32dzsfwt5ua	0.00952129066639331	0.688977757138024	6737.97630043795
did:plc:22kwtg54jiugzt7qlhe4p6jy	0.00437022007201269	0.649834038725253	3849.15277864169
did:plc:22lg775snsn5cwiwe3jm63ip	0.014000000019964	0.648065969889416	9011.26529598529
did:plc:22mcnmjykt4tb35b75xekgla	0.00429590170999678	0.62872682889462	6537.20304781461
did:plc:22mxzgfioeci5ucfborcfups	0.00577337901512778	0.689814177273295	4572.46261974903
did:plc:22norbyjbll53hwgkcwvpj7b	0.00585786958753686	0.545141655128016	5140.76604439338
did:plc:22omqlewqq66fnzo6ltdgdpn	0.00563544500592931	0.663775623542809	6097.02287511073
did:plc:22opcusrkvxemi7g3fvhq4dc	0.00460758716110988	0.547639921774898	6749.8164919294
did:plc:22psq573fro6horezv73tvh3	0.00714121170844281	0.67560536563156	8434.26125888545
did:plc:22q23ofx54ekzug5tlns2v36	0.00544160736765276	0.687137933891783	5462.2289003277
did:plc:22qkpq2vqfcweqnm5zrif4qt	0.00320606237259887	0.552827047635908	9627.29065066044
did:plc:22sgb6rvlkdhsfptf33sssg2	0.00590948400123924	0.748938970800684	10916.7302917532
did:plc:22shbketowoi7bval2yiqcpf	0.00455519828605399	0.548988502795324	8444.83185453456
did:plc:22soheo3azirruejkdw3brjk	0.00501919102464706	0.635319975247141	11955.5618904889
did:plc:22u5563nk3mpylfgzldnwv47	0.00567957718751765	0.648154817052396	6239.8908129863
did:plc:22u5czukqfwp7qsp4dm2nrm4	0.00242324314877203	0.612554451030118	3450.12778991152
did:plc:22u6u7sxbusk3h4q6i2x2sbq	0.00679261303473872	0.668378635298734	6057.49488237752
did:plc:22v3jm5khb3wbx7dxewibs6m	0.00421332742013322	0.593854520716871	3004.39509943344
did:plc:22vyjfwzc5us6nhfzaf5q74g	0.00421644413211564	0.670612439116293	9704.83085319755
did:plc:22wawkca5dgxseksahd4t44t	0.00405387733887967	0.658369137153822	5178.88162986765
did:plc:22xcjlf36ihf7k3j4u3tsjjr	0.0040053404553517	0.770084139816249	11849.7746554891
did:plc:22xikdhxpjiuuorimkecxbvu	0.00448598130940908	0.752009663801002	12074.155343862
did:plc:22xtuu5faewtaogokkixewuj	0.00503177966171957	0.756210056293284	12533.5580899107
did:plc:22zkhtz3bwhqyhskdouizjug	0.0248488919628125	0.710301317072937	9484.51555098294
did:plc:232ctc45mwgf5iyvtjv6do4g	0.00471166649681285	0.600517094368114	5086.25760687807
did:plc:233fhf5rkfvptcpqap7aow5b	0.00487804878126018	0.747807116474708	8671.89385588162
did:plc:233ic5uxbctmfohkn2plbbi5	0.00415753694052954	0.640664697223957	4647.52131579371
did:plc:234fsr4upmtoonwezebfoqcg	0.006918887090987	0.7207646375886	4346.25707586876
did:plc:2366tiscbpamhpws727lkzfk	0.0045961162826684	0.875902961984544	12113.3577112376
did:plc:236plimfmq5fw2zx7lrf2f3h	0.0137314734300536	0.652051466994875	4420.73694422445
did:plc:236rlhbo4aml5qzrkj2pjxpt	0.0029289876298509	0.546438936462658	3185.3505056927
did:plc:237bipdmuivot5b4cm6zcism	0.00409884061391825	0.628706264313109	9883.76144864768
did:plc:237vcx4ofjqqug56uinrax32	0.0043030382059902	0.555574393613217	8001.6868098934
did:plc:237zt5575p52p2x5uewfisp5	0.00637450199374397	0.585542559338146	7811.43650996853
did:plc:23af6ygd3szlelp5ch5vbxxb	0.00692974013607452	0.595780673014154	4736.81010466069
did:plc:23b7kwhuud7ltv5a626qsneo	0.0044583570490154	0.600218449305878	3188.45972455514
did:plc:23c4ds2mugjchdnnv5ixsm3o	0.0037309670263888	0.610658318298564	8442.98237032333
did:plc:23clwx47xvwzhakje6zxlkuv	0.009875259886672	0.669919026029743	5684.69994371368
did:plc:23cpwftbwv2iq4ti4nfaphym	0.00248556181007424	0.548346473177622	3895.55411211853
did:plc:23edkkrckgyiyrj5e55avzbj	0.00510684047910193	0.651680767404846	9276.02686156222
did:plc:23exvitrsdh3amk4l2qaz5b7	0.0100250626675477	0.96593388876978	8596.14763818168
did:plc:23f6kevz46wlhiekieewdpmr	0.00697099168109004	0.727440309136395	9195.37159955565
did:plc:23flhjtgq4ebnetghbcpqzqh	0.00476465492350995	0.487562572765019	6427.86591695004
did:plc:23fmqoeczajhiucyoibtkp2z	0.00574995893120566	0.809986889492151	13282.1778143057
did:plc:23gezvgl3i6aoablm7bko66x	0.00777917189929176	0.629130362878965	13380.8674118606
did:plc:23gfk24n7c4fms22wyhlphoe	0.00530347672374966	0.539077026766175	5580.03598917564
did:plc:23heq3so6hjexfzi32yjn2rx	0.00740283775991701	0.597684388904067	6154.36827093356
did:plc:23hql4qmzmdp3vsrmmylw3p2	0.00455987311752333	0.699146073245405	5677.78305092145
did:plc:23ip7qinl7um5a6u7x4wgfna	0.0028426857696796	0.558664918882744	7050.30412278761
did:plc:23ix37u4s7rzjvt3voxiplco	0.00639877143622281	0.711303538595261	7544.33440397769
did:plc:23lvbsjrtczlttdys2dypk5f	0.0101716465457225	0.873305237023942	8736.40224624574
did:plc:23mfcgbd6pqugwukxzqqzbiq	0.00507393447444548	0.536586056170711	9271.52164103313
did:plc:23n7vgcauhd6waaku7g5fmjk	0.00285890897855187	0.545070722591234	7686.93143328914
did:plc:23nk5erlu4vds46ojn2dtc2z	0.00432172869170033	0.599438749715177	9010.00924943057
did:plc:23nwltxzyv6quaxqld2ltvhf	0.00420701698683303	0.616102325227991	6220.0489165366
did:plc:23oexs4ik4apaljjckc7b7bj	0.00497845859335387	0.585624351059259	5465.46095302381
did:plc:23ogvt4h56txfky2ejwn2zgf	0.00393142301330949	0.655621945447506	2687.23153608129
did:plc:23qfzf6kbkhq7z6jw7eorypq	0.00433611457965017	0.591550717141543	4972.62869313808
did:plc:23revxsiklgybetmknjxkfvu	0.00355912744013155	0.651710587348613	9101.2992401765
did:plc:23rkcqgb4wt62lxrl2pifv3r	0.013134540315276	0.698443229356917	10013.1709731037
did:plc:23ryczm3kmetyamteal5kcso	0.00310052219333667	0.511966395167097	7206.51782736889
did:plc:23svp44tcohue6bwnpfibjji	0.00454120475494696	0.586227156634049	8663.66470822512
did:plc:23uhyr4f2e27gxykar3rcuos	0.0050029086714054	0.560007004192592	6757.65872170822
did:plc:23uofpgtghr7zykdraahcdee	0.00904866717063542	0.681171198508952	7900.76663256202
did:plc:23uwe5ziojmyopka6jykoh6g	0.0074834295541253	0.828402371996385	9963.57220982985
did:plc:23w4asw7ozwut7onm2fpkrqn	0.00444148345567989	0.624468590927575	7614.46883470394
did:plc:23wtcs2rjcc4ib5x736lerj6	0.00324324324335197	0.5656977887471	6265.50432855807
did:plc:23y5owgwj4yq4q2tcza757l7	0.00852272727628548	0.70156195425407	5955.24938724085
did:plc:23ydh54m3lugsc2pt6yfls6w	0.00560747663601928	0.735352121140725	5695.21779924649
did:plc:23yygel37rngzepis3lvnhtw	0.00484051135737514	0.602604820433808	8280.18859957662
did:plc:242cyyz232cvtfw6p5wc5acs	0.00617774247827499	0.690370755041084	4722.68918431719
did:plc:242ukkjtdj3jabrzu2wysmtc	0.0027076531020476	0.55687025272448	6408.71603661465
did:plc:243va2thhqn624xvdshsk724	0.00415172674114759	0.752286402174379	9821.1263704267
did:plc:244rweryfrdebb7wexabbtda	0.00273199162207902	0.551525349616169	4431.21767410718
did:plc:245kpyw5e5l2oaorf7wlew5d	0.00369443451353153	0.536030639194526	8801.78875755744
did:plc:2462vm4quu76hjq5idonttyc	0.00591715976545937	0.654954749661121	5602.3876680121
did:plc:246livpw45sdqcvx6jvhfzwr	0.00640428505059354	0.899719054099655	8985.72710719882
did:plc:247gs7qk4k4prfzjbmcwvey4	0.00609312477460781	0.650434232196648	3763.51795109349
did:plc:24awm2mfgw4qdevvp47vxgd3	0.00735381330914087	0.652814407045016	5399.16278739868
did:plc:24bbaaryb5i6ctnswlpaseyg	0.00431063975368675	0.746690339720399	6909.70308838878
did:plc:24cphwqjccbmyh6k22wuquft	0.00329346507203985	0.615830284611755	9522.29116812448
did:plc:24ddp4msbgmfs6ov6yjcoxcz	0.00438666032557587	0.69319867915175	4553.41564221602
did:plc:24dpxfoiihfdjp52udokwj2u	0.00354159099205886	0.705739477392522	10808.9803695012
did:plc:24evwuzci5c2ll6cnraibdfb	0.0037771482534076	0.561814910508012	8593.92841208986
did:plc:24f57dr6x5vyu6vwqq3bbclo	0.00940899735635999	1.03371061438414	18511.8887306119
did:plc:24fhbjburh2owjciurlqvs2r	0.0050223723867901	0.599922640263856	5167.0651818794
did:plc:24g57ulz7cxycflm4scyhxgm	0.00243369074497509	0.470090294386301	3483.75524746238
did:plc:24g6givodi3nvkj725alpd5e	0.00834419817849954	0.746139052111951	8271.09741606866
did:plc:24hpfciquol74jyndqbeqmg5	0.00518731988472725	0.543006984279612	5954.53157482497
did:plc:24kyqorxyzxtak22yxkapesw	0.00383593980557518	0.730096410792343	11820.5283473638
did:plc:24la53ondmf4z5ys5fnzswoa	0.00202697630191411	0.486776494917757	2772.69583944246
did:plc:24lqopy2qxb4liqh6a5qjodk	0.00465756324848142	0.746891919929895	11503.8021495132
did:plc:24m2jzwpynrcffcnye4sfhr6	0.00244718349412526	0.683064196308142	3842.64800756435
did:plc:24m3dkqgnpuljjauglxh5qus	0.00629797284176806	0.626265834405404	7331.13683404501
did:plc:24pk7uueyedsax3bb3xdveka	0.00530277112855017	0.570989651476172	10522.3310029528
did:plc:24qljkljp72xxoouk4ac5kjk	0.00339668418971451	0.657284911586133	8205.34246253724
did:plc:24qmb7ofn67in2ocmaa7xwke	0.00224734883074644	0.625438338300713	12638.4372279849
did:plc:24r7s6g2utfq27tws6btr66n	0.00310685961900587	0.749907245499973	11389.7461886182
did:plc:24rkxu535b3ckxat4ga345ls	0.00501626898118649	0.647001729260903	7971.66092612295
did:plc:24rq2teiejbkwn3gqjbfs42q	0.00343376163093799	0.593664329562633	5267.15695796893
did:plc:24rsexx5crhr4ox3s5ln6kdw	0.00254599211568409	0.571072395250068	11359.2375129532
did:plc:24rzr72tfx4rzeqp7222ggjd	0.00404574807465355	0.701521428361526	6903.09004306633
did:plc:24sfwj66zzbrs6w26zlbg6pm	0.00411262258804922	0.700444043579076	11601.1393985516
did:plc:24tkum33e2uoxngxy54u4x5m	0.0024071250902784	0.602068251316393	11714.3624372832
did:plc:24uf3v5lkd7zb7qhdxygzo73	0.00805970149337962	0.600253038753985	5586.33547399742
did:plc:24unpyo6nfkuen4j7nz4z4xv	0.0043171114600135	0.52146820942412	6807.58778076345
did:plc:24uzpkm7khkave7ttfmltlip	0.0048582995959237	0.856599114023705	9613.68183977738
did:plc:24vamwey7xqubg62vjuaykvi	0.00379486067473476	0.813996609906005	15213.8416156235
did:plc:24vj2pjbn5kbmdlnsglayai7	0.00475165194233213	0.616399579689873	5831.99687288498
did:plc:24yami2jqlm7nznwrhfkesfp	0.00403087478697751	0.578374448317044	6859.99088608096
did:plc:24z7x7jwuf2l53g4xgrfsb2h	0.00406607369763973	0.543292613626395	6012.54371723804
