did	duration_shape	duration_rate	gap_meanlog	gap_sdlog
did:plc:226hnnaaqkxs3bsbjdgpvxd4	0.646250680252548	0.00255052140358965	7.07294990837524	2.27326740979252
did:plc:22dyjlwsdvqcuh5vdyjkeaaq	0.622988382143638	0.00281331101565123	6.87375165784968	1.87687707004415
did:plc:22f25tzoj2im3ywzbkarlscn	0.694975655304225	0.00336160676692188	7.84973024214928	2.09689945945365
did:plc:22gsfscflzr3z4zmxrq3qhms	0.73439624841801	0.00737850738045663	7.57372389707609	1.56794111451346
did:plc:22odxondntm3txhahdfh2oyu	0.720097588965175	0.00348781644184776	7.42012503417667	2.18393668136661
did:plc:22ooakc5b7sszvipqlm4awhs	1.49541561199995	0.00390538956320822	6.45687421426078	2.22689426763801
did:plc:22osnvusml2zzcntk5v5vend	0.58302766374433	0.0024441617676643	7.12016403806428	1.75262446937181
did:plc:22sqybsfnxe3e5rs5phu5ehl	0.743464821599986	0.00305728146234635	7.03825625136537	1.95325264404753
did:plc:22syovmw55lbl6z2dl3thi3d	0.738398501146981	0.0028343812543382	7.37051322781578	2.1069903550498
did:plc:22t6rwepc6lgjmq7tvb6edk2	0.780007322827933	0.00251008549347228	6.57640017762592	1.5952451539238
did:plc:22tbutlkylgg5nrjhbtx2svc	0.730238425624073	0.0074564081737182	7.64991853875135	1.75206221974728
did:plc:22ua5jsfhqqii7okivqvazfs	0.676948467829413	0.00333230663262757	6.68551050325926	1.67826493459307
did:plc:22v7zatqm3ve26kmxauq7gmc	0.690885601432692	0.00247877570845334	6.77612233711192	1.70067854989431
did:plc:23crusaaiyu47t5qphtlvmpv	0.613636205116671	0.00204708497541256	6.48558571206079	1.64611650902605
did:plc:23eewmqkc6djsiox2o64kzws	0.757602325138965	0.00502789009878624	8.2151956488094	1.52047352252962
did:plc:23exa2n7fvpbcwz7myl2ajqh	1.78997272864192	0.00613253873622369	8.63391033264952	1.43754829051847
did:plc:23fkr5e5yza6jgfyfspv7ygi	0.787052678672709	0.00432946873290272	7.53521658936843	1.71924928131858
did:plc:23geb6wzurq66cxrdbjqk6vm	0.653084928027769	0.00290510889725048	8.13010462593774	1.72520310976919
did:plc:23gx4ezrasge3z2dvdqdvvn7	0.672022625054299	0.00328353945757182	6.64494615154523	2.19693874151001
did:plc:23hm6hmzgaszlzm5a6x2tcth	0.538019938124329	0.00364701676612116	6.95614386988056	1.78466515929252
did:plc:23nfisuzvkwnlbg4prppziad	1.50509041345161	0.00773967431425059	7.52449443625538	1.85153361000626
did:plc:23sx7mqiuwdy337i6gf6k75r	1.50835893418255	0.00487116599919346	6.42842329894233	2.13232226522677
did:plc:23wjsvypl7adzladmsjzribh	0.707086842145152	0.00360179171928178	7.42934569838075	1.80721180894123
did:plc:23zxlgo4hdx4cgxno6jchncg	0.552208367163066	0.00240909284729593	7.54608463247193	2.18678609617738
did:plc:243ggjd6majh5us6qdog4t7o	0.439202299397178	0.00203129200907775	7.67727848450475	2.13206590314246
did:plc:245zljxu57hx2czkfwhd4447	0.643179503730157	0.00277665156606	7.09141851545363	1.66806423122549
did:plc:24eo22wxjyidoqzcn5rw5a7i	0.78362364724121	0.00309911796948803	6.38586721141179	2.30552232476878
did:plc:24hqdvb6pltlwlbu6g54joec	0.635557833469341	0.00256948342114333	6.59188702206105	2.2692962063911
did:plc:24hwulbfbovormoacn4ubi7d	0.709048848422627	0.00396071928375362	7.44516010431581	1.94436410920031
did:plc:24iaev47hz44fkl7pcp3yqew	0.624021181875404	0.0044944523164164	7.68578191225571	1.75071440121607
did:plc:24kodgqqatq24k52skhlptot	0.504447139266712	0.00414176989501904	7.69402868580309	1.81944776498881
did:plc:24kwm7lilsq3whqyb7et3et2	0.540126301856057	0.005446908952724	7.96238835818988	1.76988697850769
did:plc:24njhcsfuuyxg5bepeahddfs	0.628422622253012	0.0020568571210486	7.12676290830727	2.33291354528228
did:plc:24pqbeqaowpogqjnjjcevxhd	0.842887440192003	0.00533025886073762	7.00589202535863	1.77724349492897
did:plc:24t2cndnni4qffphzoxpxckw	0.792233065124378	0.0033486691094504	6.39238554935898	2.04936414239656
did:plc:24yrwi2e3mojpvfjzjqke44w	0.719294093640895	0.00491691348366862	8.27573423374694	1.53441440208439
did:plc:2532cqfwwprxzhe5ylhvwjnt	0.739051324048875	0.00413373087971483	6.95629829885413	1.63355226411784
did:plc:253vuxzijuc3xrt7zech2b34	0.560578356634457	0.00306343483886444	6.87368277616445	1.96294524026236
did:plc:256uvgqktj544borbjahno3k	0.593892578014272	0.00285791646388521	7.61092127391124	1.93048678613678
did:plc:25alqpi6ra2svoyghojxyuir	0.782579587231551	0.00275490055425826	6.85528336177652	2.1540631216245
did:plc:25dkrfgnhqscyvcci4zv6qem	0.739023005179324	0.00472872695205287	7.09848434198459	1.89353619551572
did:plc:25fdpm5k7auw6cre5rzsxzqy	0.814066117335479	0.00402030911486745	7.11596487184586	1.51797414977755
did:plc:25i63pknh2atcci22qlevcwz	0.753837378914583	0.0039974930728025	7.41984516912673	1.92744623560535
did:plc:25j5r47em2gmbiypflegz6bk	0.744222154205324	0.00495444732184143	7.73585819280014	1.80785259668616
did:plc:25mt2mdfzeabxljcq32hns5t	0.605116767982082	0.00367215205636439	7.08740053252548	1.47992909103298
did:plc:25o4hyfov55jofzseptsxbjw	0.73711879112941	0.00325674487965913	7.65069396064989	2.20422312410812
did:plc:25rfcef5qqjecoijc7uihrqi	0.595437762760077	0.00300280190636113	7.41718967407002	1.95856460305952
did:plc:25ttop2hwc6pkxjhccxx4tdp	0.514001024272297	0.00246734667387731	6.66450328099132	1.99303832855937
did:plc:25twcc54z5fpxg2kpxahdjrc	0.676238283687785	0.00842382893705544	7.69588973107821	1.80745880578065
did:plc:25vf6pxbm32hhaun6mmxa5eu	0.61909988091468	0.00309317975636628	7.91952639992561	1.9815604930005
did:plc:25yid254t3d4fffay4apwqbp	0.793857588212023	0.00378267480862493	7.16377304533493	1.79677317257391
did:plc:25zrllablzxyz73u5xcgdqb6	0.818172876089746	0.0033983556303503	6.32410163486158	1.8207310163927
did:plc:2676hcie2jjbgethnplb6qgn	0.692190936553026	0.00502738618412621	7.42338231605443	1.72709099752288
did:plc:26cttse3ehzmpu7256n2thfl	0.692301276623745	0.00298012761467752	6.98871433721029	2.24508668111092
did:plc:26emblc25w23xhncjck2qmpl	0.787896968892602	0.00509051673281249	7.45510461030372	1.42121777287593
did:plc:26fmdmcttidh3jqpb65w4ibs	0.756620176411321	0.00426266297026664	7.14907228559282	1.95877377593655
did:plc:26gw6nrprsnpkvgsla25pxld	1.61460951578338	0.0116466831020318	7.77942509776512	0.988721005382271
did:plc:26is6kec3u3vlih4sqxmshbh	0.699495900844062	0.00310560145664912	6.64819204347855	2.02937176730023
did:plc:26kp3h7yk45zmyrcv6biaok7	0.591783009713061	0.00253937852204973	7.96323428776018	2.15539249673518
did:plc:26lne5o7mciwmf45tvhg7pcn	0.708934903107745	0.00234173055880356	7.07042882930266	2.12338039149272
did:plc:26o6kumpzhqa6sp43zuaqyan	0.705873512336526	0.00494207889443265	7.8920705543774	1.76595878882785
did:plc:26obwpxjbft6pxs3a5dxpsgv	0.807438559256353	0.00312023168796563	6.84279079115897	1.99580881911066
did:plc:26t7rx2xms2uanc7q2usncb4	0.712922087700514	0.00378077161692791	7.03818664142902	1.64762748033893
did:plc:26vb7ri4l4qdzgtykwliy4xu	0.786477316090066	0.00292362166395002	7.07824907388398	1.70348528724729
did:plc:26wjodaaq3qcqlj4xujxgg6a	0.562709835198159	0.00455663025848688	7.60288992371947	2.20008699467096
did:plc:26yha6qgbpnxhxbc65fcxlo7	0.699099114601425	0.00344656295708033	7.09150883620414	1.84597043746961
did:plc:26zkyi2oiixb2goovt23iuz5	0.812958477152497	0.0023335932227018	6.72475056088113	2.14405329011991
did:plc:272b5ztj5isocija3se3jgbu	0.661709400546589	0.00373375100372263	6.69298678206496	1.99867255881109
did:plc:272zg3loadi3w5m323sddnd2	0.516922474748617	0.00249506547982438	6.58699293335112	1.61627947556645
did:plc:2736e6wz4qwzzah44v22guru	0.794934096838593	0.00347146903242321	7.47734373337642	1.63388932815252
did:plc:27cnteppvlbgr7f4vm4bxglg	0.51393352560571	0.00409093986905793	7.58445651916447	2.02004982031511
did:plc:27gyyi4lspmskwaja3lq2v2j	1.88441779654721	0.00548541048010135	6.83357244238358	2.72971365790823
did:plc:27h7vortfftdfrq6p63btw5c	0.809593792714015	0.00341728050863544	6.68618932676701	1.91710724788974
did:plc:27ion7gky2dddx7celxa33fd	0.673401044936601	0.00266411072508502	7.23393432504506	1.89562648513403
did:plc:27k2caoqrcpbmovrjryzxxb6	0.702274066475121	0.00258248126117034	6.4474731178167	1.84049107867385
did:plc:27kh4uj4frl53mwekthq4g6h	0.634001706527399	0.00404727329339253	6.85296611740056	1.49836502532737
did:plc:27kv2vdqz6zs2qskbzyyrcda	0.475421713736678	0.00279065790470678	7.35138673354927	1.89105734574604
did:plc:27liz4zrbm3ee7pdtjms6jhz	1.29291842435621	0.00570136764180076	7.19725581994965	1.84490608064334
did:plc:27nbtkqj4rwywbu2ucxhwv5l	0.69083877664007	0.00235539903662778	7.01739759075186	2.02512533830242
did:plc:27palik3xmhg3lnik7s3u64n	0.73345654533808	0.00328992442501817	6.82749751043547	1.97124108161559
did:plc:27poqhoswe6u7bvv7b3kc3yf	0.82298099984351	0.00381022266576933	6.43046613981828	1.81344873394353
did:plc:27rdvpb5pxuctuff4obsol3e	0.590196145876987	0.00220270248905448	6.45079835405437	1.77223757975773
did:plc:27uex2ofers7n2ija2x355u7	0.672196645309489	0.00459981937417097	7.56800325005226	1.49775695110179
did:plc:27xp7k6rj5ws476o526b5ljm	0.790936195757436	0.00357429559295112	7.4506758523322	1.85588873271
did:plc:27zopvezm4kujggjyyh4ab74	0.733922366639076	0.00204546389709104	6.91949503174418	1.81928771524574
did:plc:2a44gqqxzlr5dsl4gleggazo	0.645028338411995	0.00234558765826521	7.31474351099849	2.48745501311856
