warmup boredom_pct avg_session_len post_wp_posts pct_prolif mean_reposts pct_indirect pct_multilevel
0.0 36.6 145.0 4453147 16.0 2.18 14.4 17.0
2.0 32.3 155.1 4504109 17.2 2.13 9.4 12.0
3.0 31.4 157.0 4281961 15.5 2.57 2.7 4.3
5.0 29.8 159.9 3821622 18.5 2.47 0.9 1.5
10.0 26.9 165.6 2508074 32.5 2.26 0.1 0.2
100.0 24.4 165.2 2335924 37.7 2.11 0.0 0.1
