did	xi	sigma	mu
did:plc:25h4lbuvexws33sgaznt2tsr	0.24783417754872542	322.3520180234472	0.0
did:plc:25icfjtgs2suo2mjr7tfusqu	0.416524406454907	185.810512817877	0.0
did:plc:25j7ntvhdo7ct2nnietlfe6s	2.8473387794048457	2.8473387794048457	1.0
did:plc:25jwfssmbkn64r5yuyzpgru4	0.22332546447747767	166.31505866113486	0.0
did:plc:25lp5o5van42xqkwkhpaiv7l	2.852998090020719	2.852998090020719	1.0
did:plc:25nhgkaj7y5xdtz7274wgqa2	0.281993974036677	121.831684139557	0.0
did:plc:25o3n2ya57bceqg4myt63x5z	0.324834989697573	266.486564826472	0.0
did:plc:25oem5n5ktbuy23lld4zqlid	1.9439893876157377	1.9439893876157377	1.0
did:plc:25oqkhlxaxiuglwv35b37l5d	-0.302750877335413	892.229827734255	0.0
did:plc:25p5uzvtto2el4kixpbxaz5a	-0.471595687302132	395.325032354912	0.0
did:plc:25psnr776jluhuziijad7sqj	-0.564838218596193	615.473132316662	0.0
did:plc:25q2omojyginwvyxkwfabqff	-0.554087166829516	189.706520683889	0.0
did:plc:25weho7vcvfyk3d2csxidx72	-0.362553407455088	754.40609812527	0.0
did:plc:25xhftclxdblm3fa3lqej245	0.2800109158631787	84.47358930147291	0.0
did:plc:25zou352g4sbinzivlnyrw62	-0.203305902518276	761.964799002526	0.0
did:plc:262ju54hwqjsdhtneecpfxav	2.673144970812857	2.673144970812857	1.0
did:plc:263htgponty7fveahe23xmyu	0.528630131189087	68.4756829596046	0.0
did:plc:264gkdt4pbhwsut2byo642eu	2.7563329450836553	2.7563329450836553	1.0
did:plc:26aggbks2k2rklslyqhplc33	2.6629959993654935	5.325991998730987	2.0
did:plc:26bi2q65qqijr7xn523iw762	2.851712634857762	2.851712634857762	1.0
did:plc:26dagtbvg7ya6fzsnclqfg62	-0.365711721273765	995.429086692894	0.0
did:plc:26g7rqycddki2y5lkzihppuu	0.273179160368188	82.4775262401437	0.0
did:plc:26hmghlvlua6s2js7ah5xfaq	1.4691760325770538	1.4691760325770538	1.0
did:plc:26khqhvzagdf2cnpvgqiorp4	2.322886262786129	2.322886262786129	1.0
did:plc:26ltgss66l3rsgquiez52547	0.186729334988414	146.518784834076	0.0
did:plc:26q5cvfxkwnfttugqv4p25gu	0.265303894884351	38.6251017142968	0.0
did:plc:26rclonx6kr3vvgteu74ko42	0.24668556302052938	222.55061521618663	0.0
did:plc:26ucavrs7wo3fngzaqntiiez	-0.858337889108318	400.872796201762	0.0
did:plc:26v3sdxr777kaf54jktgf6a7	-0.263590174398988	805.199871739096	0.0
did:plc:26ynfxvfqu6j6oeyhkanxzvp	0.248034112174088	78.1700528680031	0.0
did:plc:277u257fq7rkdtfcy6ocxorb	0.3249426645136771	91.5567869845324	0.0
did:plc:27algwuuaufoz6zcv3qjevt7	-0.40161107333006	508.082026785484	0.0
did:plc:27axlxva4dyt3t4vmivaczp2	-0.515989348809236	583.676327786818	0.0
did:plc:27b7jsh366e24fr2d4dfnmdo	0.17603679397213232	384.66580811664323	0.0
did:plc:27bpd45xfrf5g43kj3jn5wvc	-0.396946612236062	188.963466428284	0.0
did:plc:27djuni4glvo3qq6znw7zqs4	2.2081561615762597	2.2081561615762597	1.0
did:plc:27gje7tp4hoeljjxqffjtb4r	-0.414201157251446	319.60189788184	0.0
did:plc:27iw5ruj3tq7r4hd2lsebiwe	-0.25741204882819	197.869626085809	0.0
did:plc:27jlxkw4wfi7rsjp4kcjthmj	3.147533169508985	3.147533169508985	1.0
did:plc:27lwvjlccbu2s3kszutf4l6a	0.34046512457831146	618.7373925089347	0.0
did:plc:27osstgixgoiht3zysuziict	-0.111472944744421	604.746804694999	0.0
did:plc:27oztulikqaiedjwyucpxtfp	-0.399068878991031	235.270309407539	0.0
did:plc:27pjrnxplpo7k5dpizbeaib5	1.838184894093476	1.838184894093476	1.0
did:plc:27tcg3oehm6hli6lwlbpstpf	-0.787291615156992	747.270918568913	0.0
did:plc:27u4ix57plhqzkgrulwnyonf	0.190926609696875	471.152575274298	0.0
did:plc:27v3gqnkqq3rwuvegdrkdgqt	-0.317508845459467	284.901922280185	0.0
did:plc:27vhceudd4ci4fcdfvpuzh5b	-0.248289865151997	138.053473876756	0.0
did:plc:27vxrzun7zbkdkngxac7j6un	0.2341487790184852	230.53533863935138	0.0
did:plc:27w7ydu4wk5roxmhqhxw2zjh	-0.191405175969378	1155.36627807538	0.0
did:plc:27wwrg7nfv23olgv2cse5itd	0.563160592459372	141.722435651356	0.0
did:plc:2a3slrvcgydrhxgcj5mqiiar	0.128590989952156	534.222478504176	0.0
did:plc:2a4gpzibld7zluzvs7pgh7ry	-0.18324784776541	678.078296035455	0.0
