did	rate
did:plc:23wtcs2rjcc4ib5x736lerj6	0.00324324324335197
did:plc:23y5owgwj4yq4q2tcza757l7	0.00852272727628548
did:plc:23ydh54m3lugsc2pt6yfls6w	0.00560747663601928
did:plc:23yygel37rngzepis3lvnhtw	0.00484051135737514
did:plc:242cyyz232cvtfw6p5wc5acs	0.00617774247827499
did:plc:242ukkjtdj3jabrzu2wysmtc	0.0027076531020476
did:plc:243va2thhqn624xvdshsk724	0.00415172674114759
did:plc:244rweryfrdebb7wexabbtda	0.00273199162207902
did:plc:245kpyw5e5l2oaorf7wlew5d	0.00369443451353153
did:plc:2462vm4quu76hjq5idonttyc	0.00591715976545937
did:plc:246livpw45sdqcvx6jvhfzwr	0.00640428505059354
did:plc:247gs7qk4k4prfzjbmcwvey4	0.00609312477460781
did:plc:24awm2mfgw4qdevvp47vxgd3	0.00735381330914087
did:plc:24bbaaryb5i6ctnswlpaseyg	0.00431063975368675
did:plc:24cphwqjccbmyh6k22wuquft	0.00329346507203985
did:plc:24ddp4msbgmfs6ov6yjcoxcz	0.00438666032557587
did:plc:24dpxfoiihfdjp52udokwj2u	0.00354159099205886
did:plc:24evwuzci5c2ll6cnraibdfb	0.0037771482534076
did:plc:24f57dr6x5vyu6vwqq3bbclo	0.00940899735635999
did:plc:24fhbjburh2owjciurlqvs2r	0.0050223723867901
did:plc:24g57ulz7cxycflm4scyhxgm	0.00243369074497509
did:plc:24g6givodi3nvkj725alpd5e	0.00834419817849954
did:plc:24hpfciquol74jyndqbeqmg5	0.00518731988472725
did:plc:24kyqorxyzxtak22yxkapesw	0.00383593980557518
did:plc:24la53ondmf4z5ys5fnzswoa	0.00202697630191411
did:plc:24lqopy2qxb4liqh6a5qjodk	0.00465756324848142
did:plc:24m2jzwpynrcffcnye4sfhr6	0.00244718349412526
did:plc:24m3dkqgnpuljjauglxh5qus	0.00629797284176806
did:plc:24pk7uueyedsax3bb3xdveka	0.00530277112855017
did:plc:24qljkljp72xxoouk4ac5kjk	0.00339668418971451
did:plc:24qmb7ofn67in2ocmaa7xwke	0.00224734883074644
did:plc:24r7s6g2utfq27tws6btr66n	0.00310685961900587
did:plc:24rkxu535b3ckxat4ga345ls	0.00501626898118649
did:plc:24rq2teiejbkwn3gqjbfs42q	0.00343376163093799
did:plc:24rsexx5crhr4ox3s5ln6kdw	0.00254599211568409
did:plc:24rzr72tfx4rzeqp7222ggjd	0.00404574807465355
did:plc:24sfwj66zzbrs6w26zlbg6pm	0.00411262258804922
did:plc:24tkum33e2uoxngxy54u4x5m	0.0024071250902784
did:plc:24uf3v5lkd7zb7qhdxygzo73	0.00805970149337962
did:plc:24unpyo6nfkuen4j7nz4z4xv	0.0043171114600135
did:plc:24uzpkm7khkave7ttfmltlip	0.0048582995959237
did:plc:24vamwey7xqubg62vjuaykvi	0.00379486067473476
did:plc:24vj2pjbn5kbmdlnsglayai7	0.00475165194233213
did:plc:24yami2jqlm7nznwrhfkesfp	0.00403087478697751
did:plc:24z7x7jwuf2l53g4xgrfsb2h	0.00406607369763973
did:plc:252p2y6hx7xgxfvrbwfyvwt2	0.00257328261360528
did:plc:25324csgbdx5gac6eip5bsrg	0.0055195584354312
did:plc:25426fr663cmykhxhkm5kszj	0.00497741021590356
did:plc:25453dic7hnjxwgl3ruw6zzh	0.00582790538448911
did:plc:255x3dil2j32oun3auzcwies	0.00211380255950087
did:plc:255zzszqiuphjhtztr57lprl	0.00227175919359317
did:plc:256bwbmfjlapaj5jgthkgj37	0.006505387275446
did:plc:257r6amfmv3bq3vjoaufwjto	0.00317719680467098
did:plc:25a4w47mlwtx3vexjg2khyym	0.00652252687682356
did:plc:25amzlneiyxex6i33hepq7p7	0.00801068091216698
did:plc:25ay52aazt7ttq3ng7sk5rog	0.00826641474173817
did:plc:25bnjlkyohiyayi3rejpazn6	0.00616591928440497
did:plc:25dgrhms6u7ilf5ppxqrtgls	0.00297715358243462
did:plc:25dhfyrdwej2ogzuutxil5vx	0.00381922342489762
did:plc:25dxxhnhibcwx4ewupad6qox	0.00254265640687199
did:plc:25edqn2tyqni4hiwzknh2ln4	0.00398565165433238
did:plc:25es5na7hgoovpfdlz5onn7h	0.00449284191387776
did:plc:25fvd5yknfi6unqfgttsv3zh	0.00409059163949466
did:plc:25hncooo2ddj7jirghczyov7	0.00723278864301115
did:plc:25hzpqjiuy7wldcqxwwxcpj6	0.0076879805036381
did:plc:25inhjqgt3szvgp75iqbjfj2	0.00596955527022164
did:plc:25kvhguox66i2iou3tytykn6	0.00563115908074285
did:plc:25lviwi7r73sbei5uzitvkym	0.00550104073797238
did:plc:25m4nldyaaptswirjxzwmw32	0.00607111882245322
did:plc:25m5t7mgy6dmbymtorr6wcqa	0.00412415888993928
did:plc:25mf2qgl4r3pytu6oxylcsoo	0.00208461066830525
did:plc:25msjrx5z3s6u5aud2l5td53	0.00229800757860082
did:plc:25nuohjc2o22mwzuliddstyy	0.00432174986792527
did:plc:25oua5dgxtcu5tavsb3bq2dh	0.00285124969683857
did:plc:25qmdsxpn4tcfhkpacmjgunz	0.00366937041365737
did:plc:25rjauej7zdprulqtlcr7zsy	0.00669109447217714
did:plc:25rnz6j35jsfsz6xqmjjavwi	0.00556070435640337
did:plc:25rsbdklorqbl5d36nm7wlxu	0.00705244123091724
did:plc:25sbojaqniwncfjeabrge6ek	0.00372758412285933
did:plc:25smjnqpsiomhgsuajdez4qp	0.00950668037050164
did:plc:25sr6td5q2ojd3jjc4nquzei	0.00767165324616172
did:plc:25tlwaf4k3vm3sjtipbbe2se	0.00441944556151065
did:plc:25vwzcybsihfqkwt6sldjxxl	0.00677757239821803
did:plc:25ycvhvz5awcjmclkskcjy36	0.00463847203364299
did:plc:25yk5lya47yuzvwdsfhpelei	0.0058289277506531
did:plc:265p7np6zehha2gzwsxa3lwi	0.00227843664200196
did:plc:267wuw3fruxt3irat66gwcqi	0.00306251125936269
did:plc:26acpxu4ulrh67kiffzb6rxl	0.00632022472085817
did:plc:26d6ehzckz2iwl6spzrcdbha	0.00226905790468025
did:plc:26fy5rc7cjw7qjd72omeczgc	0.00681395829059574
did:plc:26g4ty6g5os6rtkk3qs4mjgg	0.00366584420199292
did:plc:26g7bivdwi3kgs6ab3al5g6d	0.00457711442879898
did:plc:26idbu25dqrgpj7um6elfk6i	0.00598028123692502
did:plc:26iie2thzeh7cljoyihnujev	0.00771476230672444
did:plc:26inndanndxn3usscp2o7c22	0.0048291233291769
did:plc:26istsbcrgunzz5shyrzhhme	0.00368640943728118
did:plc:26jdp4avwlvdsnrfwu7sczek	0.00257394445703319
did:plc:26jl7qbgzzk63eegzijrqp7w	0.00247749607734894
did:plc:26jwvvalzguh2xwal636gzyo	0.0022469505671577
did:plc:26l5foyejtomzvnlsmvmzrvu	0.00520368718723309
did:plc:26lb3lnnks2ua2xswp3uympt	0.00588964662163799
did:plc:26lzi46rplfbninrykyxtzwv	0.00599563953694538
did:plc:26nwjeqiqlqghqj5ocpjzaxq	0.00621528696296992
did:plc:26pn5zdktacsab2btfbsesay	0.00250815149235995
did:plc:26raoz67aecbi3f73bqb52gp	0.00200195312510306
did:plc:26ug6ezjw6fmsdss2aahfpif	0.00409752100005864
did:plc:26wns3ozvavf7wk2mwwvdz2y	0.00434741959633041
did:plc:26xepz5rezlzjpg2lfrp6wfn	0.00464636035123757
did:plc:26y67nmo73lvuklgomnef7xn	0.00513716223224287
did:plc:26ypzvcklxb4w5qnyrr7h5cu	0.00660474716356033
did:plc:26zk6zbnmrgogsrxhmfmip6g	0.00305468633599766
did:plc:26zq5xksy7l2w64juiaigsow	0.0103563813684024
did:plc:272fetgnopscxfhpxzrqwbft	0.00621118012607583
did:plc:272ztc7gepzvdrgryrry6q6f	0.005494505495043
did:plc:273jcoshbblu4qihmewk5pbg	0.00587301587521096
did:plc:275kz544rexfgaj377oo3jh3	0.00564373897756777
did:plc:275xqpljwuj6lcqtbpmu2tsl	0.00303216025302932
did:plc:27bfkfzbdwkywpdi5aw2xmg3	0.0184049080193372
did:plc:27dcrdrxjzr3txwv5ohg77dw	0.00654327911765534
did:plc:27eelluttr4wulpfvj4ajwl3	0.00473253979720459
did:plc:27fycdlhp4vjw5rkmoeudv3m	0.0113408939368097
did:plc:27idu3646jm43umvqoq5yejf	0.00717535876817772
did:plc:27ihlsr2q7p34oxgi5qsh5xl	0.00228444618504134
did:plc:27iukc64mmk2f6wcndkylt4e	0.0020754716982045
did:plc:27jdaspuyqlc3hrbrryfli6l	0.00250097260050527
did:plc:27jgcfwjung35tncou3ifymw	0.00778291965129356
did:plc:27k36zncswvmslsekwoqyfsw	0.00430416068889226
did:plc:27kjgrw3nfxkqx527k76cqo6	0.0104223807008698
did:plc:27klx4dshrznyuwzzogwsb66	0.00398068942158721
did:plc:27knugai7thb5o3see44j4wf	0.00319106501852166
did:plc:27kuozrpjgds3q5bw7uxwhzl	0.00500515236344041
did:plc:27lbtj2jghkevymjboyugjze	0.00495168117636281
did:plc:27oocyy2hfxw35wh45n3q65r	0.00215465645201516
did:plc:27prm64ncc2fcdqfmtlsl26i	0.00369713102668542
did:plc:27si5md3h3xxivuyrrsblwqs	0.0055667233652916
did:plc:27tar2nlnd647u6iv6lten2n	0.00644972148929986
did:plc:27tpjkejfrs55igbz4rxwaba	0.00420250195489587
did:plc:27twsbwljczqqletsribu27b	0.0059993143661305
did:plc:27u2k6rk34up336jdmvja3m4	0.0038847294816273
did:plc:27wrte57apsato6bpm462y5m	0.0104432582985172
did:plc:27xca7pwdffnel6vatwewpij	0.00357063155545702
did:plc:27ygv57h5fm4gqndqqbp5sca	0.00374894183128142
did:plc:27yp2fsob3jhp6gia4zmh235	0.00864431794564002
did:plc:27zsdl37lklveqmkughcbbpb	0.00678349350057028
did:plc:2a4cv5xmzzawobsgg4tkyam2	0.00634965429833189
did:plc:2a4n7b4ztjetoymzu6qnxfm2	0.00289535364692213
did:plc:2a553yqxban4bkdopqui4iuh	0.00814785373690413
did:plc:2a5dpe7wwmnddvnaovz4omli	0.00562776363402732
did:plc:2a5t5xuol6nctgkqx5m3th2a	0.00893655049459438
did:plc:2a6vs6qh5gfy2q4veigtny4f	0.00417032484660608
did:plc:2aal2wgpgsqq6vr4ar3ble24	0.00345372015043705
did:plc:2acpzd4rruhuxzlahhdnli6l	0.00603995663622489
did:plc:2acswc2gzjuk6j6fd3twm5sl	0.00324675324675758
did:plc:2adfe5dla4nnbjvkl7mgsrk4	0.0110103627025245
did:plc:2adhwxrbdfrrchta2bjrtzbj	0.00866307656625298
did:plc:2adu2uyjgidrqxmbgp5q2o4e	0.00336221388862685
did:plc:2aeprd6wfqd73snsl55hxw62	0.0126664501463672
did:plc:2afvngdefwiqrkysalr4miih	0.00819519463987744
did:plc:2ag2krcorihx7eho4ysd3dv3	0.00544611819290442
did:plc:2ahtzlzrcwf5gd3t7xiimoyv	0.0078110808402334
did:plc:2aivvqlu4qc2stirbbv4dkcu	0.00510510510577741
did:plc:2aiy65cbksubs7dm7cadrho2	0.00325008552867456
did:plc:2ajlkr5yqobpjaaisbyquaq5	0.00513672760565571
did:plc:2ak3idew5qu2wrg7bceidnvd	0.00442593074824116
did:plc:2alfzuoz2cjjkzeysywculfu	0.00330428317707238
did:plc:2amva2vtun3cmamczgxn3ifq	0.00393700787431376
did:plc:2anyrijvpsfnkvg5gzjjvugg	0.00264941466440794
did:plc:2aohl7ncyma3kdzyuy7zzr5w	0.00938366389688256
did:plc:2ap6lgkrlihctkt2giau6qyq	0.00847008999833153
did:plc:2apbof7nqu55pua4vwwhgqgy	0.00732394366201682
did:plc:2apdn75mgn54nfo7zmkatyog	0.00244593202888947
did:plc:2apmi6oea5dqodidrc5axdnt	0.00339625970407001
