warmup boredom_pct avg_session_len post_wp_posts pct_prolif mean_reposts pct_indirect pct_multilevel
0.0 56.4 98.2 69084 18.4 1.68 16.0 19.1
2.0 53.0 106.8 73017 19.4 1.63 9.4 12.0
3.0 51.8 109.7 70748 17.7 1.92 3.1 4.9
5.0 50.9 112.4 61194 21.8 1.86 0.5 0.8
10.0 48.4 118.2 36809 41.9 1.69 0.1 0.1
100.0 46.2 120.0 33333 50.1 1.61 0.0 0.0
