did	shape	rate
did:plc:26zkyi2oiixb2goovt23iuz5	0.812958477152497	0.0023335932227018
did:plc:272b5ztj5isocija3se3jgbu	0.661709400546589	0.00373375100372263
did:plc:272zg3loadi3w5m323sddnd2	0.516922474748617	0.00249506547982438
did:plc:2736e6wz4qwzzah44v22guru	0.794934096838593	0.00347146903242321
did:plc:27cnteppvlbgr7f4vm4bxglg	0.51393352560571	0.00409093986905793
did:plc:27gyyi4lspmskwaja3lq2v2j	1.88441779654721	0.00548541048010135
did:plc:27h7vortfftdfrq6p63btw5c	0.809593792714015	0.00341728050863544
did:plc:27ion7gky2dddx7celxa33fd	0.673401044936601	0.00266411072508502
did:plc:27k2caoqrcpbmovrjryzxxb6	0.702274066475121	0.00258248126117034
did:plc:27kh4uj4frl53mwekthq4g6h	0.634001706527399	0.00404727329339253
did:plc:27kv2vdqz6zs2qskbzyyrcda	0.475421713736678	0.00279065790470678
did:plc:27liz4zrbm3ee7pdtjms6jhz	1.29291842435621	0.00570136764180076
did:plc:27nbtkqj4rwywbu2ucxhwv5l	0.69083877664007	0.00235539903662778
did:plc:27palik3xmhg3lnik7s3u64n	0.73345654533808	0.00328992442501817
did:plc:27poqhoswe6u7bvv7b3kc3yf	0.82298099984351	0.00381022266576933
did:plc:27rdvpb5pxuctuff4obsol3e	0.590196145876987	0.00220270248905448
did:plc:27uex2ofers7n2ija2x355u7	0.672196645309489	0.00459981937417097
did:plc:27xp7k6rj5ws476o526b5ljm	0.790936195757436	0.00357429559295112
did:plc:27zopvezm4kujggjyyh4ab74	0.733922366639076	0.00204546389709104
did:plc:2a44gqqxzlr5dsl4gleggazo	0.645028338411995	0.00234558765826521
did:plc:2a4ishdeosg5gbk2udu5i4gt	0.502199143376549	0.00525772823226899
did:plc:2a4pgquedrzuxdcyr55dstpm	0.686549624022175	0.00216215243117871
did:plc:2adc6qqx5midyqv356shmrhy	0.680750201893129	0.00256888631068166
did:plc:2adojyroadzxnenac7l5u6hz	0.791645017011472	0.00312655654844312
did:plc:2aefuiltxo3tdkq4qckpw7p2	0.513304498255422	0.00359502175144716
did:plc:2afrkpzaezq66cbqaoazd2sj	0.701998067652593	0.00450702059636862
did:plc:2aku2op57lvg6zvm5r3rpv5s	1.43075816192016	0.00378106256473946
did:plc:2amj2wrfef2dgnw4kk4iakrx	0.743042632148219	0.00670690686151256
did:plc:2an3m6636j57tz7y47oz75ei	0.793079903331284	0.00437987533206753
did:plc:2ao2zm6jzsgivkfybmac2hiu	0.529114466156119	0.00548659587784962
did:plc:2ap6afz5s2okrwolfrvbftvy	0.617066062936213	0.00210469927353221
did:plc:2aqkn3txgbdjahvghlz2nckj	0.796395295857221	0.00572523491323839
did:plc:2aqooyihglsxaia7pn74raki	0.627761077059383	0.00311032829489048
did:plc:2arylkivwbtc3o3fdnq7auxe	0.563042543219215	0.0022061808128209
did:plc:2asuvu3ouhh45zuww7nqwx4j	0.590140021236931	0.0029017943191075
did:plc:2axp4nq4u3rwkeogahxygxzy	0.700529181787885	0.00215466039753663
did:plc:2aylwwoxvcrohglyve4hzlaz	0.658752649412298	0.00389816126264244
did:plc:2azzybg26nf3qwuoj4scgikz	0.747336802271342	0.00308598855351479
did:plc:2b7e7sniyzqxqg2vhym2b3dg	0.737150045010462	0.00341033586766793
did:plc:2bfgkxxtz4azefhxkuu3wae4	0.579997849881294	0.00405771416477732
did:plc:2bfgnnhsm3xl5yzrsofswavd	2.54595835143195	0.019765891038751
did:plc:2bhq6lidpnuupnwvdpgb32fu	0.516354922812331	0.0022302827803893
did:plc:2bi7dmt4p5biiynct5u73phl	0.621314882021107	0.00231620106709154
did:plc:2bj2knbylj6uu4w27zro663l	0.726380506113301	0.00363744893618356
did:plc:2bkeduq7ubttbqmohq3rkxrf	2.23623650423605	0.0174119585213594
did:plc:2bsfyiqktgi4xdk7zibngedz	0.540042259330174	0.00365354298200361
did:plc:2bsgbdonraseziac7tpdbuuj	0.682770429545146	0.00608546654006909
did:plc:2bvxs4avmxuwg6k5syu4jsuw	0.749157276178626	0.00364656723729595
did:plc:2bwhlmwvrucojysw6dn5czc2	0.519867419435843	0.00516375447262743
did:plc:2bwybqv62fqn2g4hqn2cujgm	0.661747576469005	0.00241256280791895
did:plc:2byzjetq23jvm7tib6kbgaqc	0.721240613916068	0.0037254767452198
did:plc:2bzhokmj2mgng56j27oiinmd	0.449038535046795	0.00206352976054117
did:plc:2caf3uy6srmyxzoqmkuyusmx	0.643024158107493	0.00261199712051486
did:plc:2cklgvclqx7ukknj5xqwnz4o	0.534681315002358	0.00303325739108787
did:plc:2cl5aifodwikxz4cokjpe3ux	0.652488113792574	0.00421567151689113
did:plc:2cxhcl4gvwnqn4v4sq3phowb	0.666397573162447	0.00248011919163456
did:plc:2czwbwxgzxsmhbx5kwasubxu	0.811830056422823	0.00329609352986952
did:plc:2d3ll75dxe6c7vjsvmnqz6p7	0.71832550372747	0.00257649897506261
did:plc:2d5m5mfvxfvfh5bigtewfgke	0.669370125722782	0.00381685124895943
did:plc:2d77djexot3ikpie3kf3kz5x	1.3993971373602	0.00312596188271505
did:plc:2darfo36xds4oznvip7x2ux7	0.758892101417791	0.00319835760800435
did:plc:2dckwmmjjxqvydbed3qoihou	0.759679223223932	0.00306130528930824
did:plc:2dcogwkquk7zd6guiukx4jiy	0.553646832166447	0.00420890069971559
did:plc:2ddc6xuapuaup7cail47qxsh	0.60131106387718	0.00469030734006436
did:plc:2dpsn6af4kmdhfsfau6ijsqy	0.521394215248346	0.00533710387511575
did:plc:2dt4k435xuhymmjdxuwsijjn	0.815538883776761	0.00408831240388978
