did	meanlog	sdlog
did:plc:2bffmluopgwofqko4pxc4y32	7.45899151575563	1.9275200845592
did:plc:2bippqetokgbw6b5ka5rqffi	7.44219035821161	1.67997183542566
did:plc:2bjoelsss77ctiw5d4gnpdnr	6.65399594195864	1.9169080602232
did:plc:2btg42uudtcuzobcamwztgrh	8.06359520429163	1.97483917447194
did:plc:2bw3rmsxra5vdofx7eb34xpl	7.34255770994453	2.46092348273875
did:plc:2bxwgcie2w4hhyrexdjj4ge7	6.96038397655635	1.9947543878488
did:plc:2by2ubq4j4xkgqhnt3h27x4t	6.35885102383161	1.94159788966322
did:plc:2c2wkphix2apu3negrptsbi5	6.90789861723265	2.35088180383027
did:plc:2c5oxf3jakzvmzq5vlttaala	7.22022875341713	2.00807072535051
did:plc:2cfwhq3haaw47zcr3gtu3el6	7.71706367681413	1.78029610339003
did:plc:2cjs7gsehmhzczsk6tc7o4y3	7.36924813432555	1.89211090052569
did:plc:2ckzf43ucemnr2uxlcluj7vo	6.94765004265049	2.30860099839356
did:plc:2coiglturus6fxvm7afrutup	7.48309118555273	1.66362454585816
did:plc:2cvbaevozize4lbivzlhjrf3	7.34224137313817	2.21287801808655
did:plc:2cwkm4qt5xp43nonn5wuwmwn	7.31918386804298	2.41759657329387
did:plc:2cwm3os6tzkcayb4jr5x5jsq	7.30612964847236	2.08607661380371
did:plc:2d47y6spvdua4fvbekyopwag	6.5726945540558	1.82314498794587
did:plc:2d6z3pbvksrb5glnbc7ox24g	7.62548593277919	1.78495941107104
did:plc:2d7dppz5rrvcu7yinte77464	6.7427529224167	2.05227984219678
did:plc:2dfexqe5ocpu6y3iwdw3tdqk	7.58274569584856	2.00021135330904
did:plc:2drkk3txe7ritjybnlihowhj	6.55334156204686	2.55022886000645
did:plc:2dt6thyfke44suyypsnvzsbp	7.1544525888907	2.05404984721165
did:plc:2dwt3zfv6ijuuci7l3xto5yu	7.74482043534908	1.85109741624074
did:plc:2dxhc67tuhmfggw4tqmdn72b	7.58774799904848	1.84301708783502
did:plc:2e2evblhba2novxiofqzzrki	8.62827751994994	1.4457888088581
did:plc:2e2m5enduxheosbpqx6tqgzp	6.10471333543456	1.96137225632195
did:plc:2e7r63tqkfrb5zjpgjj3khbe	7.84189128333514	1.65024439008549
did:plc:2ehtxyxekinl5q7drk6mjagr	7.13171738465868	1.94959504477685
did:plc:2ei7fknyiw4dggcio35r5k7u	7.54462665905353	2.19449502943987
did:plc:2ekx4dsupwiobwdfjovauxj4	7.23190100501672	2.29794663360328
did:plc:2eq3273yo4eq7xi7wxz2wqav	7.32897297065059	1.80328516959791
did:plc:2ewd4z2bghnf25y5lghzz5sg	6.29320708804903	1.9931704486054
did:plc:2f2hj2uzsrkcjlr4a6crcf3v	6.35139446812054	1.97164029932524
did:plc:2f3onovjc4guj7ys3hmw7uic	8.81023566102075	1.24437115362934
did:plc:2fg6nqvpmpqe3qqjfe3ohhjh	5.96872916219414	1.87632286705866
did:plc:2flh2miwa3pqfvww4hlu5mpj	8.53751361361026	1.22720572919256
did:plc:2fmvs5mxj33yvv4vcdtw4d2u	7.0479236421086	1.91155471399305
did:plc:2fomrpx4jkvehobzzvjxubk7	7.34611011126365	1.78589473163706
did:plc:2fopterjpcgcxfozbra63w4g	6.74019771030204	2.46670360154972
did:plc:2fqqhimzn6nk3iclureepd4z	7.05771649319038	1.80055702505317
did:plc:2fs2wbyn3mti3h5emj35c54o	7.0787358624527	1.70722180642012
did:plc:2fu6fiy4m6kzk2lt5rdzjanm	7.7858025341151	1.93700111736252
did:plc:2fvxsn2e7vao3kb5yjibk4jq	6.77839809221013	2.47617012164612
did:plc:2g5cfqehwdexjadcvfrsqlek	8.12418767635452	1.6865728096657
did:plc:2g6ywlkazb63lgtlq5migf4h	7.58418728682689	2.15455208931272
did:plc:2gajc43itmwhngl7h2wchse4	6.93669770976068	2.01222383741855
did:plc:2giaqro5nztkd64wq42lq2oq	5.92353983672428	1.49541392264721
did:plc:2gjf7dbfvu5vg6h7x3l3lot4	6.92512489202021	1.99866748283775
did:plc:2gjzleaibcw55mnpazie67bn	7.52311523252324	1.70968561552517
did:plc:2gtosy77tjnd246hzjmnyczq	7.07168870808121	1.68051547383861
did:plc:2gvji5g2rhuzrplemtu5idrv	7.098414381428	2.073653667863
did:plc:2gy7kfae7qsi7frycuexolah	6.77524056953415	2.17227522917879
did:plc:2gz5b6xn4m2taq3u3btah3wm	8.20769754793189	1.7993721474523
did:plc:2h24hp6fuw4xedkuobt3bgmw	6.62578955733127	2.70819673681115
did:plc:2h2dugxutmjljgnker6ndy7k	8.10133108696373	1.73767169200599
did:plc:2h7qnz5tgglxp25ysq6tixzn	6.72450426051177	2.21438095064484
did:plc:2haevfjz6gsy5lbm7vfwogbn	6.35192019471587	1.76291434633814
did:plc:2hf2oy7klxldmtznuz2zdpvm	7.45603507437117	1.77224548971328
did:plc:2hfz2kuxj3lxx4xyuhtd73gk	7.41899751744042	1.92967841633423
did:plc:2hl67cxlbnm5yxydsqhrgfoi	6.67005476518489	2.2783909630749
did:plc:2htr6vzopp6mejep7qcpszru	8.51638814009407	1.02197056403139
did:plc:2hwofeyn7fwnwjnjz2ery7eo	6.39843019756089	1.84043153748421
did:plc:2hxzdn5lz7mqpelwxcziym2r	7.31049396387585	2.5252116136354
did:plc:2hydmee4p3evne3avg5enmpm	8.16493974551908	1.72049089415162
did:plc:2i24wpyolqidbm3jww7ijknj	7.48409497045232	2.02460505474784
did:plc:2i3xrw3uzhwcc3gyxcq2huhp	7.450682996314	2.0251041783593
did:plc:2i6nw3wc7vws4rb43kd7oxxy	8.26249046593008	1.41591573248078
did:plc:2ikn3ak5dgihkfski47wzvwc	7.21301031810304	2.07404816304849
did:plc:2ioreeuirkvnzsanuk3by3kk	6.81589469838177	2.27166468346483
