"run_id","time","surv","lower","upper"
"0",343.02,0.783816425120772,0.767794530618201,0.80017265529938
"0",864.97,0.553140096618356,0.533930295087149,0.573041030453281
"0",2126.62,0.280998389694039,0.263866664738925,0.299242403691909
"0",3688.57,0.122383252818033,0.110150648305947,0.13597432970818
"0",5164.73,0.00925925925925909,0.00616470170765925,0.0139072231059706
"1",343.02,0.73765362870183,0.72025689054971,0.755470559291266
"1",864.97,0.484124286558966,0.464530889105939,0.504544111775475
"1",2126.62,0.243938594002581,0.227342157182828,0.261746604243319
"1",3688.57,0.0963244704523011,0.0852113503164002,0.10888694491361
"1",5164.73,0.0112587043385807,0.00773747802932741,0.0163823952589102
"2",343.02,0.755401919986435,0.738935746381593,0.77223501977466
"2",864.97,0.505033444954728,0.486034097734149,0.524775487382272
"2",2126.62,0.267163864152387,0.250562700018369,0.284864947191272
"2",3688.57,0.118739495178839,0.106847821444611,0.13195465779931
"2",5164.73,0.0109365324506825,0.00756658301648781,0.0158073653304541
"3",343.02,0.775265629713846,0.759131875300936,0.791742273208253
"3",864.97,0.513389270473751,0.49420929753438,0.53331360691213
"3",2126.62,0.243939622305849,0.227703233190759,0.261333747865005
"3",3688.57,0.0868935255926067,0.0765422358409413,0.0986446856034266
"3",5164.73,0.00757328892779599,0.00483890535494489,0.0118528264094412
"4",343.02,0.775993576876758,0.75979238421634,0.792540230546095
"4",864.97,0.516659975913289,0.497403877534311,0.536661539580193
"4",2126.62,0.235648334002407,0.219557716892333,0.252918176159306
"4",3688.57,0.0871136089923717,0.0767143971463588,0.0989225119920795
"4",5164.73,0.0140505820955438,0.0101118208223292,0.0195235715399221
"5",343.02,0.750015417521396,0.733397511036473,0.767009865802257
"5",864.97,0.507617989822986,0.488559432087325,0.527420016211809
"5",2126.62,0.264040055171489,0.247448975827165,0.281743541277204
"5",3688.57,0.112148160542287,0.100527821370193,0.125111732668542
"5",5164.73,0.0110180648953825,0.00762312549151096,0.0159249318634527
"6",343.02,0.763987533138892,0.74713040285923,0.781225002433239
"6",864.97,0.50132735645642,0.481629653097116,0.52183065705239
"6",2126.62,0.261397387371484,0.244315522063628,0.279673569437978
"6",3688.57,0.106074302121761,0.0943878933853886,0.119207635291503
"6",5164.73,0.00883952517681343,0.00577437766865303,0.0135317102266616
"7",343.02,0.720345963756177,0.702712635518525,0.738421769116085
"7",864.97,0.472405271828662,0.452959041990304,0.49268635828731
"7",2126.62,0.232289950576606,0.216085662497481,0.249709400037179
"7",3688.57,0.104612850082373,0.0931207991190838,0.117523136677144
"7",5164.73,0.0102965403624383,0.00697155613250097,0.0152073283812587
"8",343.02,0.749063159121322,0.73206678589707,0.766454136647182
"8",864.97,0.499922700169734,0.480466492166357,0.520166775872612
"8",2126.62,0.238879319785535,0.222536299033134,0.256422568673633
"8",3688.57,0.100148718260602,0.0889111141328727,0.112806659404274
"8",5164.73,0.00656712906626901,0.00402972764197803,0.0107022578210437
"9",343.02,0.756417764132452,0.739848207841454,0.773358410321042
"9",864.97,0.525754092630437,0.506604251521813,0.545627805308208
"9",2126.62,0.270433270036838,0.253620116030676,0.288361012870019
"9",3688.57,0.110957179912174,0.0993363820545941,0.123937428758944
"9",5164.73,0.00835161569231416,0.00545507943178538,0.0127861538121142
"10",343.02,0.780673616680035,0.764601586728859,0.797083482899451
"10",864.97,0.522854851643952,0.503615079663448,0.542829646940497
"10",2126.62,0.251804330392949,0.235332889576562,0.269428641779429
"10",3688.57,0.106655974338414,0.0952042512564059,0.119485177520485
"10",5164.73,0.0140336808340019,0.0100996289691679,0.0195001418717325
"11",343.02,0.743515850144096,0.726350698250247,0.761086649668282
"11",864.97,0.490325236722941,0.470842565383791,0.510614068147045
"11",2126.62,0.23301770275834,0.216797786103119,0.25045112671468
"11",3688.57,0.0946891724989727,0.0837330891415978,0.107078808156452
"11",5164.73,0.00823384108686718,0.00532173495471255,0.0127394805680329
"12",343.02,0.72984636565256,0.712639018088362,0.747469201006058
"12",864.97,0.476806224593893,0.457605715660082,0.4968123605789
"12",2126.62,0.218953909695769,0.20331131372433,0.235800033420993
"12",3688.57,0.0769947814314791,0.0672117036735754,0.0882018464592489
"12",5164.73,0.00761927524582345,0.00486833510573447,0.0119246834925632
"13",343.02,0.745382622677116,0.728643510751186,0.762506281866466
"13",864.97,0.489181942971297,0.470129778830071,0.50900620233986
"13",2126.62,0.246361943926012,0.230165931902043,0.263697615513465
"13",3688.57,0.088155072586943,0.0777928363464614,0.0998975893898318
"13",5164.73,0.00905163691740932,0.00602621642159023,0.0135959489591292
"14",343.02,0.77618308766486,0.760259468631796,0.792440226573139
"14",864.97,0.524437548487208,0.5055097701674,0.544074038711843
"14",2126.62,0.275795190069825,0.259072027891901,0.293597836418637
"14",3688.57,0.102792862684253,0.0917137363833208,0.115210360361518
"14",5164.73,0.0108611326609777,0.00751430992716588,0.0156986075664632
"15",343.02,0.774732032849892,0.758774127464075,0.79102555160876
"15",864.97,0.528138127657066,0.509208703026773,0.547771238447286
"15",2126.62,0.253972305505679,0.237705580616093,0.271352198785958
"15",3688.57,0.0986375620771296,0.087768103950693,0.110853125618225
"15",5164.73,0.0104850951814272,0.00720476739170521,0.0152589549372762
"16",343.02,0.766308835672999,0.749639543300279,0.783348793268345
"16",864.97,0.495871180842282,0.476353613142377,0.516188439020879
"16",2126.62,0.24525185796862,0.228702328052034,0.262998957419336
"16",3688.57,0.0924855491329476,0.0816383761530285,0.104773970300309
"16",5164.73,0.0136251032204789,0.00970906804409183,0.0191206238256485
"17",343.02,0.742564569348048,0.7253555792537,0.76018184104736
"17",864.97,0.503363097429208,0.483793048804846,0.523724779592137
"17",2126.62,0.265409633189944,0.248340359310616,0.283652136066671
"17",3688.57,0.105248647644288,0.0936708041567156,0.118257528913904
"17",5164.73,0.0095680588767534,0.00637073365556398,0.0143700483521337
"18",343.02,0.733166039314099,0.715649846128264,0.751110957560637
"18",864.97,0.477624424926821,0.458016921821907,0.498071316621309
"18",2126.62,0.21915516520285,0.203185683984416,0.236379775844702
"18",3688.57,0.080301129234632,0.0701147738499005,0.0919673701032157
"18",5164.73,0.00460058552906745,0.00255127475011231,0.00829600465780217
"19",343.02,0.742430359305613,0.725407474011665,0.759852714737536
"19",864.97,0.478401291885347,0.459128220400664,0.498483399425644
"19",2126.62,0.241824788050059,0.225536831651251,0.259289038013459
"19",3688.57,0.102947113443681,0.0916490843731468,0.115637905592556
"19",5164.73,0.00847799757771492,0.00553777035664134,0.0129793108595664
"20",343.02,0.762211678194923,0.746153428641221,0.778615523398032
"20",864.97,0.509402640938605,0.490694728033991,0.528823799747956
"20",2126.62,0.25999971346569,0.243801869374939,0.277273718924116
"20",3688.57,0.10748168649819,0.0962979033246594,0.119964324597469
"20",5164.73,0.0121106125631763,0.00858237619704975,0.017089315742857
"21",343.02,0.77648475120385,0.760299183296772,0.793014884269263
"21",864.97,0.52688603531299,0.507643538014438,0.546857929667858
"21",2126.62,0.292134831460668,0.274815251782641,0.310545936584527
"21",3688.57,0.111155698234347,0.0994750477169545,0.124207924836807
"21",5164.73,0.0132423756019258,0.00943572114878652,0.0185847492541714
"22",343.02,0.758247222601849,0.741964461058764,0.774887317059628
"22",864.97,0.506011605128906,0.487145468835936,0.525608387853783
"22",2126.62,0.258397098205098,0.242097844675281,0.275793700065239
"22",3688.57,0.106670635175577,0.0954347643689013,0.119229344610494
"22",5164.73,0.0115527763728062,0.00809430358742304,0.0164889592388715
"23",343.02,0.743786614620234,0.726561854714862,0.761419725654793
"23",864.97,0.481690378992148,0.462122016184685,0.502087355909204
"23",2126.62,0.243761999749483,0.227179432502081,0.261554982629526
"23",3688.57,0.0987548614369704,0.0875129689749566,0.111440884381675
"23",5164.73,0.00875043076023786,0.00571607241490813,0.0133955683084095
"24",343.02,0.736296706223575,0.718438332674244,0.754598989140382
"24",864.97,0.49351302011868,0.473374019097857,0.514508805301189
"24",2126.62,0.245873660291683,0.228773148425842,0.264252414416662
"24",3688.57,0.0975548993257843,0.0860722882775779,0.110569366435017
"24",5164.73,0.011035622095677,0.00747310271918358,0.0162964379876608
