did	shape	rate
did:plc:2atpw7zrdrdptzqo7jw63rzv	0.47156849705625	0.00217914525376463
did:plc:2atvapcw3pc5jpbxvoywejsw	0.631208031792211	0.0025961890901035
did:plc:2aumojfunftldnwhuafyfju7	2.05803034743742	0.00782676603849099
did:plc:2ax4yuz5jiduc7yy2m76r74h	0.696981968758013	0.00340035256553116
did:plc:2b3fjmlezc2wsu773bk7tyeb	0.705854995330617	0.0032890433005664
did:plc:2bbsjerxazgps7c6headlwn6	0.69482512545326	0.00320929822566184
did:plc:2bexj3sn47budsrkwndlcraj	0.506229138486467	0.00373289943989919
did:plc:2bgrs5zrpvq4zkxjlij5e4dq	0.611025748663258	0.00587083514712888
did:plc:2biyayed44ycggkc4hsrlljt	0.658663918356921	0.00402521065798474
did:plc:2bppy3pghop6hi5qoga5klr5	0.78085444202657	0.00429555546531531
did:plc:2br6qaqpr2hvyys5vtnrefcz	0.651174081626799	0.0034355988557503
did:plc:2brz7rlukhy4khkmzfap5q2t	0.860657856751631	0.00360388773482197
did:plc:2by3kd4qzdzqkrf22ptddyu7	0.487279335162122	0.0026356925788353
did:plc:2c6wev5ei4jzcy4imh5afa35	0.643100836325901	0.00224191900323168
did:plc:2cfzdu5q2zwi2gmkjoz2okkz	0.62791706217116	0.00460329452989586
did:plc:2cgvoarixmr367a7a4rqpr5k	0.567457933434815	0.00229120079391594
did:plc:2cq5fmslmru2whaziodsb6oq	0.767631155122269	0.00282203558837498
did:plc:2cu32uera2seqspru2n6uejv	0.771418737810555	0.00418867010291882
did:plc:2cwnbpxohxph6x6he6o42hxe	0.538333683327213	0.00375792031722307
did:plc:2cy5d5byplisur4y7ppkz5nh	0.645600735652893	0.0021575761080336
did:plc:2czxsg34p55v7cgo4ijfgrbm	0.671327831434338	0.00352143373206835
did:plc:2dey5qlon56brdcnu3io7ve5	0.420381582474306	0.00304469854397154
did:plc:2dg46t5jp3sfkfctoczlwb25	0.851118591089188	0.00280633958607823
did:plc:2dgsrytizimut5q7qebxlz4n	0.653846689327518	0.00251558087935284
did:plc:2dgyjz6q6d346hxf4pfxhtfw	0.600639398568603	0.00341972955069909
did:plc:2dhwdfeywujzqssnlbjts5mh	0.719106290032331	0.00530665485982907
did:plc:2dibkb2haagnxllnycgcd5ad	0.612341260722628	0.00353242812199764
did:plc:2dk55kuezgj34my2qvfzgmox	0.520864417790799	0.00343496227334726
did:plc:2dmq7m5hx36g3tpnvoexagjf	0.718420677885493	0.00374874146548691
did:plc:2drv4glfqd7iak2pgwo2thp2	0.774814336684618	0.00229086875616
did:plc:2dscyblbqygu7y6mmkaywx2y	0.665484600331744	0.002708104991465
did:plc:2dsnpbdcgv67n62ztkxejaou	0.680923248265914	0.00276513018424877
did:plc:2dumvwxtreeni52g7wqsmbuf	0.72109070909698	0.00664136044183812
did:plc:2dz5lhoqi7bdjsshpnntcnol	0.80889092744203	0.00800287270834026
did:plc:2eahyyjlfbymf6dyr6tg7pfp	0.581641709150335	0.00320482922803324
did:plc:2edw5pdrcgwtan6hehd74xzz	0.764695360960135	0.00474591267021037
did:plc:2egbtmcywtn7jd4hcpmeyx6c	0.559062228306468	0.00245614376389797
did:plc:2ehatp6jrzln5bvesaai67hn	0.671435194862767	0.00528185161519894
did:plc:2ehrd4f26d3hz6pwpogq46rs	0.596091006817272	0.00259018797825756
did:plc:2enemezsscwjqvrbgas7ugv2	0.62891389483857	0.00692407901457723
did:plc:2f2j4aw5bkxz6q3hgbji3jxs	0.578075216276346	0.00316564085957567
did:plc:2f5k4lsniywd2q6po7z42jns	0.584225186043997	0.00500348843781815
did:plc:2f7xpqxlbq53sexs6xkxajzf	0.633150084691105	0.00298928140495847
did:plc:2fjhikcei3dugdzhgfuae35z	0.505019288374375	0.00405099369207473
did:plc:2fnpwsjmi37jjxxwajmtgxvk	0.672369872118237	0.00274934336751548
did:plc:2fq2io3ss7bitvba6bxzrroc	0.606487444521367	0.0020308248166014
did:plc:2ftisfungz67x4uwuxxtpxnp	0.553834112079212	0.00244374742524348
did:plc:2g3odfpsgsndmrt2qnkxi7vb	0.767784889428299	0.00516181803557132
did:plc:2g76fonuujm7we6nzef6tofl	0.678666945703829	0.00209681432929886
did:plc:2g7frlxeocz6nj42p6diskcy	0.677865478039637	0.00527720421165688
did:plc:2glrvsgcewzic5nv3c76asqo	0.585390249958127	0.00520073239779888
did:plc:2gmry3yoq3zry37xtqyzn4p6	0.702078031869598	0.00357671482747331
did:plc:2goeoctnhvgyngaequup6eby	0.798096726695019	0.00251931468607155
did:plc:2gugtrgvnz3j7iagpqepmkwe	0.59301486652316	0.00407657577576112
did:plc:2gui776gorguqdayegq3qfoe	0.72002335695483	0.00254559179662447
did:plc:2gxar3c2vyij3goxv5y32wpr	0.777119383494806	0.011191673479255
did:plc:2gxc6b3uiooholygqogfdg3m	0.528999971785914	0.00281019350164455
did:plc:2gxzbttm43v2mi47rfs5l7lq	0.781932680043663	0.00381408714344649
did:plc:2gyeiu6nnehnvfk2e4vdibcu	0.670674026063286	0.00318933620160279
did:plc:2gzbdy7bpg5cini76ytc37s4	0.572914850439648	0.00387788820717807
did:plc:2hbj625jol5pfwsjv357ndsl	0.666442380485655	0.0046106230782145
did:plc:2hk3yosrlb6fppa3tyobo5j7	0.642604847887083	0.00466109935927102
did:plc:2hnzhirecrohje2n4micsqsb	0.564146331595371	0.00273471313719089
did:plc:2hscbb6ienmwqrjlhmg4k5j3	0.74938332316152	0.00205074026743998
did:plc:2hwwmnwi3xm223gi5xhh442c	0.76470574650892	0.00304715798641111
did:plc:2hx23gneujwmhiqpt67jjmrp	0.745430243533016	0.00407113404755346
did:plc:2hzxnr26wyslmwvzkv5rbixa	1.49787801080127	0.00490923580354104
did:plc:2i7addj6wxwauc5kruy72qxg	0.709784638749524	0.00571320251200428
did:plc:2iaeelbo4j3on7yo646uxhyn	0.861483153477906	0.00228411069341061
did:plc:2inpznw7vrc5xo2svba3ho53	0.702220385571861	0.00225090572086631
did:plc:2irfawhue6ac6f435bd4ladn	0.720683423704058	0.00273630882799517
did:plc:2irphestiff2awrrlnnmoijr	0.738720286348029	0.00286248892334138
did:plc:2iscwprhjbb2kjo2tixnwoqa	0.457862556922952	0.00332645826673696
did:plc:2iymlrabuaznedvn2pu3uaj5	0.580456070722725	0.0035127221395759
did:plc:2j2rh2eid2bcgyzzloewu4bt	0.636253403013985	0.00290447388017146
did:plc:2j343mdtftrjkosbk24ww26j	0.637340412873447	0.00335281748626679
did:plc:2j7aolyu2ys3umoikzy2ikpo	0.681963845144528	0.00371177476417099
did:plc:2jbnvn43ht33oa3eeltkmvcy	0.607732738055787	0.00273369823929311
did:plc:2jnctcnfyfqiutdrvy7v3ryl	0.741459532130075	0.00402091775149318
did:plc:2jr6cjkkutk3fjijzzdemxub	0.636592772691705	0.00619309335316878
did:plc:2jxiepcv6udfo64cqpgrrako	0.724403131163902	0.0028124484300503
did:plc:2kao5ibvhuzljiubbqar3rae	2.98412200027465	0.00864470216765744
did:plc:2kbfnipi5bg26xlxplhl7h2o	0.820893984575274	0.00380167628328936
did:plc:2kdfegju7m7vfdh3a5wzjosm	0.713588742062106	0.00653370331011591
did:plc:2kfmdfqryh23n4jvorsrqzd7	0.752642883582707	0.0023641596519604
did:plc:2kn66fyi3mgx4tpmdzmjamur	0.751843390209942	0.00440149464416851
did:plc:2knp2hldwo3adaoo3jra7bjy	0.721653338266224	0.00298223875721533
did:plc:2komokonhtxkeffhsk2srfgi	0.781697118124772	0.00205394345041411
