warmup boredom_pct avg_session_len post_wp_posts pct_prolif mean_reposts pct_indirect pct_multilevel
0.0 46.0 120.7 398633 18.1 1.85 13.3 17.0
2.0 42.6 128.7 407643 19.1 1.81 7.7 10.6
3.0 41.5 131.4 392502 15.3 2.44 1.4 2.7
5.0 40.2 134.5 344600 18.8 2.33 0.4 0.8
10.0 37.4 140.4 215008 34.5 2.13 0.1 0.1
100.0 35.2 141.3 198920 40.2 2.0 0.0 0.0
